"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Optimal Operation of Electric Vehicle Supply Equipment by Aggregators in Local Energy Community","A. E. Nezhad; T. T. Sabour; R. P. Joshi; M. Sadegh Javadi; P. H. J. Nardelli","Department of Electrical and Computer Engineering, Texas Tech University, Lubbock, TX, USA; Department of Electrical and Computer Engineering, Texas Tech University, Lubbock, TX, USA; Department of Electrical and Computer Engineering, Texas Tech University, Lubbock, TX, USA; Technology and Science (INESC TEC), Institute for Systems and Computer Engineering, Porto, Portugal; Department of Electrical Engineering, School of Energy Systems, LUT University, Lappeenranta, Finland",IEEE Access,"4 Jul 2025","2025","13","","112867","112879","This paper proposes a centralized energy management system for low voltage (LV) distribution networks. The main contribution of this model is to manage the energy serving at the local energy communities in the presence of electric vehicle supply equipment (EVSE). Unlocking the demand response potential by the EVSE at the distribution network with the contribution of the active residential prosumers has been investigated in this study under different operational planning scenarios. The developed model is based on the multi-temporal optimal power flow (MTOPF) concept while the unbalanced nature of LV networks has been addressed using unbalanced power flow equations. The aggregator can effectively manage the optimal charging of electric vehicles (EVs) by home and public chargers available at the distribution network. Simulation results on a modified unbalanced LV network illustrate that the optimal operation of EVSE minimizes the electricity costs of end-users. The simulation results show that the operating costs and systems losses reduce by 9.22% and 43.45%, respectively. These results have been obtained considering the switching actions and 100% PV power generation index using the presented MV-LV coordinated operational model. Besides, the energy storage systems improve the peak-to-average (PAR) ratio by 9.87%.","2169-3536","","10.1109/ACCESS.2025.3582189","EU MSCA Project COALESCE(grant numbers:101130739); Research Council of Finland via X-SDEN(grant numbers:349965); ECO-NEWS(grant numbers:358928); Mohammad Sadegh Javadi acknowledges Fundação para a Ciência e a Tecnologia (FCT)(grant numbers:2021.01052.CEECIND); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11045911","Centralized energy management;unbalanced power flow;coordinated MV-LV networks;electric vehicle supply equipment","Reactive power;Distribution networks;Costs;Load modeling;Propagation losses;Power system stability;Planning;Load flow;Energy storage;Voltage","","1","","46","CCBY","24 Jun 2025","","","IEEE","IEEE Journals"
"Trilevel Optimization Model for Competitive Pricing of Electric Vehicle Charging Station Considering Distribution Locational Marginal Price","S. Chen; S. Feng; Z. Guo; Z. Yang","Department of Mechanical and Energy Engineering, Shenzhen Key Laboratory of Biomimetic Robotics and Intelligent Systems, Guangdong Provincial Key Laboratory of Human-Augmentation and Rehabilitation Robotics in Universities, Southern University of Science and Technology, Shenzhen, China; School of Computer Science and Technology, Harbin Institute of Technology (Shenzhen), Shenzhen, China; Research Center of Cyber Science and Technology, Hangzhou Innovation Institute, Beihang University, Hangzhou, China; Department of Mechanical and Energy Engineering, Shenzhen Key Laboratory of Biomimetic Robotics and Intelligent Systems, Guangdong Provincial Key Laboratory of Human-Augmentation and Rehabilitation Robotics in Universities, Southern University of Science and Technology, Shenzhen, China",IEEE Transactions on Smart Grid,"21 Oct 2022","2022","13","6","4716","4729","We study the competitive pricing problem of electric vehicle charging station (EVCS). The EVCS determines its optimal pricing strategy considering the competition from the other EVCS and the impact of charging loads on the distribution locational marginal price (DLMP) of the power network. A trilevel optimization model is proposed, where the upper and middle level capture the profit maximization problems of this EVCS and its competitor respectively, while the lower level represents the optimal power flow problem of distribution network. Due to its computational challenge, this model is reformulated into a single level one, and their equivalence is rigorously proved. Furthermore, we develop an exact algorithm to achieve the global optimal solution, and also prove its finite convergence. Finally, numerical results validate our trilevel model and exact algorithm, and demonstrate their merits in increasing profits for the EVCS.","1949-3061","","10.1109/TSG.2022.3181359","National Key Research and Development Program of China(grant numbers:2019YFB1705401); Natural Science Foundation of China(grant numbers:61903179,61873118); Science, Technology and Innovation Commission of Shenzhen Municipality(grant numbers:RCBS20200714114918137,20200925174707002,ZDSYS20200811143601004,TSG-01555-2021); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9790878","Trilevel optimization;competitive pricing;electric vehicle;bilevel mixed-integer programming;distribution locational marginal price","Pricing;Electric vehicle charging;Optimization;Games;Couplings;Load modeling;Transportation;Integer programming","","27","","49","IEEE","8 Jun 2022","","","IEEE","IEEE Journals"
"Optimal Siting and Sizing of EV Charging Station Using Stochastic Power Flow Analysis for Voltage Stability","Y. Jin; M. A. Acquah; M. Seo; S. Han","School of Electrical and Electronic Engineering, Kyungpook National University, Daegu, South Korea; School of Electrical Energy Engineering, Keimyung University, Daegu, South Korea; School of Electrical and Electronic Engineering, Kyungpook National University, Daegu, South Korea; School of Electrical and Electronic Engineering, Kyungpook National University, Daegu, South Korea",IEEE Transactions on Transportation Electrification,"18 Mar 2024","2024","10","1","777","794","Existing literature on planning for electric vehicle charging station (EVCS) fails to consider uncertain factors in power systems, such as load fluctuations and the impact of EV integration. Consequently, using deterministic power flow (DPF) algorithms for EVCS planning is unreliable. To address this, we propose a probabilistic model for EV charging loads and introduce a novel dynamic system voltage stability (DSVS) index. We then present an effective optimization model for EVCS site and size planning using stochastic power flow (SPF). Our model aims to maximize capital gains on investment costs of EVCS, minimize yearly EV users’ average wait time and distance to charge costs, and minimize the DSVS index. To simplify the problem, we use the super efficiency data envelopment analysis (SEDEA) method to determine objective weights and transform the multiobjective optimization problem into a single-objective one. Finally, we jointly solve the model using the voronoi diagram and adaptive differential evolution optimization algorithm (ADEOA). We verify the effectiveness of our proposed method using a case study with the IEEE 33-node distribution network topology diagram and a planning area diagram.","2332-7782","","10.1109/TTE.2023.3275080","Korea Electrotechnology Research Institute (KERI) Primary research program through the National Research Council of Science & Technology (NST) funded by the Ministry of Science and Information & Communications Technology (MSIT)(grant numbers:23A01069); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10123058","Dynamic system voltage stability (DSVS);electric vehicle charging station (EVCS);site and size planning;stochastic power flow (SPF);super efficiency data envelopment analysis (SEDEA);voronoi diagram","Costs;Indexes;Voltage;Charging stations;Planning;Optimization;Power system stability","","51","","69","CCBY","11 May 2023","","","IEEE","IEEE Journals"
"A Comprehensive Review and Analysis of the Allocation of Electric Vehicle Charging Stations in Distribution Networks","T. Yuvaraj; K. R. Devabalaji; J. A. Kumar; S. B. Thanikanti; N. I. Nwulu","Centre for Computational Modeling, Chennai Institute of Technology, Chennai, India; Department of Electrical and Electronics Engineering, Aarupadai Veedu Institute of Technology, Vinayaka Mission’s Research Foundation, Chennai, India; Department of Electrical and Electronics Engineering, Saveetha Engineering College, Chennai, India; Department of Electrical and Electronics Engineering, Chaitanya Bharathi Institute of Technology, Hyderabad, India; Centre for Cyber Physical Food, Energy and Water Systems, University of Johannesburg, Johannesburg, South Africa",IEEE Access,"11 Jan 2024","2024","12","","5404","5461","In recent times, the limited availability of fossil fuels and growing concerns regarding the emission of greenhouse gases (GHGs) have directly impacted the shift from conventional automobiles to electric vehicles (EVs). Additionally, there have been notable advancements in new energy research, which have significantly improved the viability of EVs. Consequently, EVs have gained widespread recognition and have been rapidly adopted in many countries worldwide. However, the rapid growth of EVs has given rise to several challenges, such as insufficient charging infrastructure, unequal distribution, high costs, and a lack of charging stations, which have become increasingly significant. The limited availability of charging facilities is hindering the widespread adoption of EVs. However, as more people embrace EVs, there has been a growth in the installation of electric vehicle charging stations (EVCSs) in public locations. Recent research has focused on identifying the ideal locations for EVCSs in order to assist the electrification of transport systems and meet the growing demand for EVs. A well-developed EVCS infrastructure can help address some key issues facing EVs, such as pricing and range limitations. Researchers have used various methodologies, objective functions, and constraints to formulate the problem of identifying the best sites for EVCSs. Current research is focused on determining the best locations for EVCSs. This endeavor intends to ease the transition to electrified transport networks while also addressing the growing demand for EVs. This review article explores various optimization techniques to achieve optimal solutions while considering the impact of EV charging load on the distribution system (DS), environmental implications, and economic impact. The research used a standard IEEE 33-bus radial distribution system (RDS) with a full variety of potential energy sources to improve understanding of the subject. The use of the bald eagle search algorithm (BESA) and cuckoo search algorithm (CSA) aided in the best identification of energy source locations and their relative capacities. In addition, the examination of EV charging techniques, including both the traditional charging technique (TCT) and the innovative charging technique (ICT), is being undertaken to assess the effectiveness of these approaches. The study included ten separate scenarios, each of which was thoroughly evaluated to demonstrate the individual and synergistic usefulness of various energy sources in mitigating the effects of EV charging on the DS. The collected data from the empirical inquiry was aggregated and thoroughly analyzed.","2169-3536","","10.1109/ACCESS.2023.3349274","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10380227","Electrical vehicles;electric vehicle charging stations;bald eagle search algorithm;cuckoo search algorithm;renewable distributed generations;distribution static compensator;battery energy storage system;capacitor;innovative charging technique;radial distribution system","Batteries;Electric vehicle charging;Electric potential;Costs;Resource management;Object recognition;Charging stations;Energy storage","","129","","213","CCBYNCND","3 Jan 2024","","","IEEE","IEEE Journals"
"Risk-Aware Hierarchical Coordination of Peer-to-Peer Energy Trading for Electric Vehicle Charging Stations in Constrained Power Distribution and Urban Transportation Networks Under Uncertainties","X. Chen; X. Wang; M. Shahidehpour","School of Electrical Engineering, Xi’an Jiaotong University, Xi’an, Shaanxi, China; School of Electrical Engineering, Xi’an Jiaotong University, Xi’an, Shaanxi, China; Department of Electrical and Computer Engineering, Illinois Institute of Technology, Chicago, IL, USA",IEEE Transactions on Transportation Electrification,"1 Jan 2025","2024","10","4","9264","9280","The growing uncertainty and the variability arising from the continuous proliferation of variable renewable deployment in electric vehicle charging stations (EVCSs) and power distribution networks (PDNs) have posed inevitable cost and operation risks to EVCSs and PDNs, respectively. In such an intricate uncertain environment, how to coordinate the peer-to-peer (P2P) transactive energy (TE) trading among EVCSs is still a challenge. Therefore, this article proposes a risk-aware P2P-TE coordination framework for EVCSs in constrained urban transportation network (UTN) and PDN to handle various uncertainties. The electric vehicle (EV) charging load simulation is implemented in UTN using the Monte Carlo method (MCM) to obtain the expected value and various scenarios, which are used for EVCS scheduling and uncertainty set construction. The autonomous and privacy-protected P2P-TE trading, which is modeled as a distributionally robust optimization (DRO) problem, is designed among EVCSs considering the uncertainties of charging load, renewable generation, and PDN electricity price. After receiving the trading results, a three-phase unbalanced probabilistic optimal power flow based on distributionally robust chance constraint (DR-CC) is executed by distribution system operator (DSO) for security operation, where the affine policy and system-wide response functions are developed to reformulate the original DR-CC model into tractable second-order cone programming (SOCP) form. If any PDN constraints are violated, a trading adjustment signal will be returned to EVCSs in an iterative process. Numerical tests are carried out on a 12-node UTN and the modified IEEE 33-bus PDN to validate the effectiveness of the proposed risk-aware P2P-TE coordination scheme, where the total operation cost of EVCSs is reduced by 26.65% and the tradeoff between conservatism and optimism against uncertainties is guaranteed.","2332-7782","","10.1109/TTE.2024.3362848","Science and Technology Project of State Grid Jiangsu Electric Power Company, “Research Service on Trading Mode and Function Module of New Type Distribution System Market for Promoting PV Consumption (J2023103)”; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10423054","Chance constraint;distributionally robust;electric vehicle charging station (EVCS);peer-to-peer (P2P);probabilistic optimal power flow;transactive energy (TE)","Uncertainty;Peer-to-peer computing;Electric vehicle charging;Transportation;Optimization;Load modeling;Load flow","","8","","38","IEEE","6 Feb 2024","","","IEEE","IEEE Journals"
"Optimal Allocation of EV Charging Stations in a Radial Distribution Network Using Probabilistic Load Modeling","A. Sadhukhan; M. S. Ahmad; S. Sivasubramani","Department of Electrical Engineering, Indian Institute of Technology Patna, Patna, India; Rolls-Royce@NTU Corporate Laboratory, Singapore; Department of Electrical Engineering, Indian Institute of Technology Patna, Patna, India",IEEE Transactions on Intelligent Transportation Systems,"10 Aug 2022","2022","23","8","11376","11385","Electric vehicle (EV) charging stations (CSs) are the coupling point between the power grid and the transport network. Operational behaviour of EVs will affect both the networks simultaneously. Thus, the optimal placement of CSs in a distribution network plays a vital role. This paper proposes a novel method for optimal placement of EV charging stations considering loss minimization of the electrical grid, as well as EVs’ power loss during travel towards charging station. CS’s utilization factor helps to determine the number of CSs required in a network by ensure the effective usage of the investment in the CS infrastructure. Instead of a constant load/static load demand, the proposed work uses a queueing model for the dynamic behaviour of a CS serviceability. To capture the uncertainty in electrical demand and EV behaviour, a probabilistic load modelling (PLM) method is employed. With the recognized modelling, this work can optimally allocate CSs in a distribution network. The problem is structured as a multi-objective optimization problem. Simulation experiments are conducted on a test system to illustrate the proposed method. The influence on voltage profile, CS utilization, and load uncertainty are analyzed and presented to demonstrate the effectiveness of the proposed method.","1558-0016","","10.1109/TITS.2021.3103419","Visvesvaraya Ph.D. Scheme, Ministry of Electronics and Information Technology, Government of India(grant numbers:MEITY-PHD-1613); Digital India Corporation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9512527","Probabilistic load flow;queuing theory;utilization factor;Monte Carlo simulation;electric vehicle","Load modeling;Probabilistic logic;Batteries;Charging stations;Distribution networks;Queueing analysis;Electric vehicle charging","","55","","33","IEEE","12 Aug 2021","","","IEEE","IEEE Journals"
"Optimization Approaches for Fast Charging Stations Allocation and Sizing: A Review","S. M. Kandil; A. Abdelfatah; M. A. Azzouz","Department of Industrial Engineering, American University of Sharjah, Sharjah, United Arab Emirates; Department of Civil Engineering, American University of Sharjah, Sharjah, United Arab Emirates; Electrical Engineering Department, Qatar University, Doha, Qatar",IEEE Access,"2 Apr 2024","2024","12","","46741","46763","The widespread use of fossil fuels in transportation has resulted in significant carbon dioxide emissions and increased reliance on non-renewable energy sources. To address these environmental challenges, the electrification of transportation systems through Electric Vehicles (EVs) has emerged as a promising solution. However, the successful deployment of EVs hinges on the availability of a robust charging infrastructure capable of meeting the charging demands and extending the driving range of EVs. Nonetheless, the large-scale deployment of EV charging infrastructure presents several challenges, including the ability of the electric grid to supply the required energy to accommodate the charging demand. Moreover, determining the optimal locations for fast-charging stations (FCS) in the traffic network to ensure accessibility, convenience, and efficient resource utilization poses a significant challenge. As a result, numerous studies have investigated the optimal allocation and sizing of EV charging infrastructure. The primary objective of this research is to conduct a comprehensive literature review to examine how this optimization problem has been addressed in the literature over the past decade. The review aims to identify the key factors considered in the problem formulation and the optimization techniques for allocating and sizing the charging stations. To achieve this goal, a systematic literature review was conducted following the PRISMA methodology for a comprehensive and unbiased approach. This review contributes to the existing literature by highlighting critical gaps and proposing a framework that can possibly bridge these gaps. The review identifies several critical gaps in current research, including: 1) Transportation-focused studies largely ignore electrical grid constraints; 2) Electrical-focused research often relies on statistically modeled EV charging demand, which may include some geographical assumptions; 3) Multidisciplinary approaches integrating both transportation and electrical networks are still in early stage; 4) Dynamic traffic flow of EVs is rarely considered; 5) Exact optimization methods largely rely on linearized or approximated models; 6) Dominance of approximate methods in transportation and electrical network modeling, primarily relying on evolutionary algorithms; and 7) Hybrid approaches are mainly utilized to solve a specific part of the problem rather than enhancing the quality of the solution. In response to these gaps, the research proposes a novel framework to integrate the transportation network and the electrical grid planning process, offering a holistic and practical solution in FCS infrastructure development.","2169-3536","","10.1109/ACCESS.2024.3381635","Open Access Program with American University of Sharjah; Faculty Research Grant(grant numbers:EN5027:FRG23-C-E21); American University of Sharjah; American University of Sharjah through providing a Graduate Research Assistantship (GTA); Office of Research and Graduate Studies to the Ph.D. Program in Engineering Systems Management; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10478920","Allocation;fast charging station;optimization;power flow;transportation electrification","Reviews;Resource management;Optimization;Transportation;Systematics;Electric vehicle charging;Mathematical models;Fast charging stations;Load flow;Electrification","","10","","123","CCBYNCND","25 Mar 2024","","","IEEE","IEEE Journals"
"An In-Depth Exploration of Electric Vehicle Charging Station Infrastructure: A Comprehensive Review of Challenges, Mitigation Approaches, and Optimization Strategies","A. K. M. Yousuf; Z. Wang; R. Paranjape; Y. Tang","Department of Electronic Systems Engineering, University of Regina, Regina, SK, Canada; Department of Civil and Environmental Engineering, University of Western Ontario, London, ON, Canada; Department of Electronic Systems Engineering, University of Regina, Regina, SK, Canada; Department of Civil and Environmental Engineering, University of Western Ontario, London, ON, Canada",IEEE Access,"15 Apr 2024","2024","12","","51570","51589","The increasing popularity and number of electric vehicles (EVs) globally have resulted in a growing demand for efficient, reliable, and effective electric vehicle charging station (EVCS) infrastructure. However, the development and implementation of this infrastructure involves various challenges, including the variety of EVs, charging and battery technologies, high installation costs, limited grid capacity, and uncertainties regarding future demand, and raises issues regarding the quality, security, and stability of the power system. This paper presents a holistic understanding of the challenges, mitigation approaches, and available technologies and protocols related to EVCS network deployment. Moreover, optimization strategies such as location planning, network integration, scheduling charging time, and planning price, which involve maximizing the utilization of charging stations and minimizing associated costs, and their modeling techniques are highlighted. This review aims to provide insights to develop sustainable, efficient EVCS infrastructure while overcoming the challenges and optimizing the benefits.","2169-3536","","10.1109/ACCESS.2024.3385731","Natural Sciences and Engineering Research Council of Canada (NSERC) through the Discovery(grant numbers:RGPIN-2021-04177); Alliance(grant numbers:ALLRP 577114-2022); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494325","Electric vehicle charger;electric vehicle charging station;optimization algorithm;power system;renewable energy source","Batteries;Charging stations;Electric vehicle charging;Power system planning;Power system stability;Inductive charging;Connectors;Optimization methods;Renewable energy sources","","66","","102","CCBYNCND","8 Apr 2024","","","IEEE","IEEE Journals"
"Increasing Unbalanced Distribution Network’s Hosting Capacity for Distributed Energy Resources by Voltage Regulators","S. Toghranegar; A. Rabiee; S. M. Mohseni-Bonab","Department of Electrical Engineering, University of Zanjan, Zanjan, Iran; Department of Electrical Engineering, University of Zanjan, Zanjan, Iran; Hydro-Québec Research Institute (IREQ), Digital Systems, Varennes, Canada",IEEE Access,"9 Mar 2023","2023","11","","22664","22679","Renewable energy sources (RESs) are becoming promising nowadays. Deploying distributed energy resources (DERs) is thus increasing accordingly, but the intermittent nature associated with RES remains a significant challenge. Also, the distribution grid faces technological difficulties with the large-scale integration of PV generations and EV charging loads. This paper suggests a strategy for a novel optimal voltage regulator (VR) placement model associated with the optimal placement of electric vehicle chargers (EVCs) and photovoltaic (PV) cells. Also, VRs’ reference voltages are determined optimally to enhance the hosting capacity (HC) of three-phase unbalanced distribution feeders for large-scale residential/public EVCs and PVs. Two scenarios are defined to study the impact of VRs on the network’s HC for DERs, namely with and without VRs in the real three-phase unbalanced feeder. The developed model determines the optimal placement of VRs and their reference voltages linked with EVCs and PVs penetration. Time-Varying Acceleration Coefficients Iteration Particle Swarm Optimization (TVAC-IPSO) algorithm has been implemented to improve the real three-phase unbalanced distribution feeder’s HC for DERs. The efficiency of the proposed model and the solution method is validated on the modified IEEE 37-node medium voltage (MV) radial distribution network connected to 35 low voltage (LV) distribution feeders. The obtained results represent that installing a proper number of VRs will increase the network’s HC for DERs.","2169-3536","","10.1109/ACCESS.2023.3252371","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10058190","Electric vehicle (EV);particle swarm optimization (PSO);photovoltaic (PV);unbalanced distribution network;voltage regulator (VR)","Reactive power;Voltage control;Regulators;Inverters;Load flow;Indexes;Power demand;Electric vehicles","","9","","35","CCBYNCND","3 Mar 2023","","","IEEE","IEEE Journals"
"Hybrid Genetic Algorithm-Modified Salp Swarm Algorithm to Determine the Optimal Location of Electric Vehicle Charging Station in Distribution Networks","S. D. Nugraha; M. Ashari; D. C. Riawan","Department of Electrical Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Electrical Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Electrical Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia",IEEE Access,"24 Sep 2024","2024","12","","132332","132343","This study utilized a newly developed hybrid algorithm to ascertain the most favorable site for the installation of electric vehicle charging stations (EVCs). Random installation of EVCs may cause voltage disturbances, power quality disturbances and power losses in the distribution network. The hybrid genetic algorithm-modified salp swarm algorithm (HGAMSSA) was used to determine the optimal EVCs placement in the distribution network by considering power losses, network capacity and voltage regulation. HGAMSSA is a combination of GA and MSSA. In the first stage, the GA method distributes the population randomly and the second stage crosses the membership between dimensions. In the third stage, MSSA processes the best population from the GA to determine the best objective function. The HGAMSSA incorporates Optimal Power Flow (OPF) calculations based on Newton-Raphson. The OPF simulation uses a modified 20kV IEEE 33 bus distribution network. For validation, HGAMSSA was compared with four different algorithms: GA, PSO, SSA, and MPSO. There are three test scenarios with populations of 100, 50, and 20. As a result, the power loss generated as the best objective function wase 0.15715 MW. When the population is 100, HGAMSSA has the fastest iteration (5th) in achieving the best objective function compared with MPSO (13th) and SSA (17th). Furthermore, the best objective function can only be achieved by HGAMSSA when the populations are 50 and 20. This shows that HGAMSSA can explore and exploit populations performance to identify the optimal objective function.","2169-3536","","10.1109/ACCESS.2024.3458982","Government of Indonesia, Center for Higher Education Funding (BPPT)-Indonesia Endowment Fund for Education (LPDP) through the Beasiswa Pendidikan Indonesia(grant numbers:202209092693); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10679119","Hybrid genetic algorithm-modified salp swarm algorithm (HGAMSSA);charging station;electric vehicle;OPF;hybrid algorithm","Genetic algorithms;Optimization methods;Linear programming;Distribution networks;Particle swarm optimization;Metaheuristics;Electric vehicle charging","","7","","47","CCBYNCND","12 Sep 2024","","","IEEE","IEEE Journals"
