status,reason_exclusion,title,abstract,doi,year,keyword_tags,source_db,original_file,dedup_key,priority_score,priority_bucket
maybe,,"A holistic review of electric vehicle charging impacts on power distribution networks: Technical challenges, smart mitigation strategies and future directions","Electric Vehicles (EVs) have emerged as a pivotal solution in the global transition toward sustainable transportation, offering significant reductions in greenhouse gas emissions and dependence on fossil fuels. The growing adoption of EVs is anticipated to significantly influence electrical power distribution networks. As EV adoption accelerates worldwide, their integration into existing electrical distribution networks poses considerable challenges, particularly concerning load demand, voltage stability. Recent research has increasingly focused on understanding and mitigating these impacts, through a wide array of analytical, simulation-based, and data-driven methods both with and without the implementation of network management strategies. However, a comprehensive, integrated synthesis of these studies linking technical findings with mitigation strategies and practical implications is still limited. Additionally, there is a lack of a thorough review consolidating the existing research on this subject, which is essential for understanding the scope of prior studies. Motivated by this gap, this review paper provides a critical and consolidated examination of the current literature on the impacts of EV on distribution networks. The paper's objective is to assess the comprehensive effects of EV integration and evaluate mitigation strategies across three core domains: network management, EV and Distributed generation (DG) coordination, and regulated charging solutions. The paper also introduces the role of artificial intelligence in enabling predictive, adaptive, and scalable solutions. It highlights key methodologies, data sources, modeling approaches, and the efficacy of various solutions while identifying prevailing research gaps and future directions, including real-time co-simulation, techno-economic assessments, and hybrid planning frameworks. Key outcomes of this study include a unified framework for understanding EV interactions with the grid and distribution network, a comparative analysis of mitigation approaches, and a set of recommendations for advancing research and deployment strategies. These findings aim to inform stakeholders about the latest advancements and support decision-making. The findings are particularly beneficial for utility providers, network planners, policymakers, charging infrastructure developers, and researchers seeking to develop robust, data-informed strategies for managing EV impacts and guide them in addressing unresolved challenges. © 2025 The Authors",10.1016/j.apenergy.2025.126961,2026,"planning,uc_ed,grid,ev",planning,merged_dedup.csv,10.1016/j.apenergy.2025.126961,18,high
maybe,,A machine learning approach for EVCS integration in distribution network based on optimal investment actions,"Achieving the European climate targets for 2050 requires the large-scale integration of electric vehicles and public Electric Vehicle Charging Stations (EVCS). This energy transition requires the reinforcement planning of the electrical infrastructure to ensure the quality of supply for the next years. Distribution operators need efficient planning tools able to evaluate reinforcement actions for each new connection of EVCS in MV distribution networks. This paper presents a Machine Learning (ML) approach for optimal EVCS allocation based on the Mixed Integer Second Order Cone Programming (MISOCP) formulation. First, a formulation for distribution network operational planning based on an MISOCP model is presented. This formulation aims to minimize total investments while considering operational constraints, the branch flow model, passive and active decision variables. Secondly, a large set of expansion scenarios are solved based on a sensitivity analysis and then used as training data for supervised learning models, allowing them to learn the mapping between scenario inputs and optimal investment outcomes. The strength of the trained model is the fast and accurate predictions of optimal reinforcement actions and investments from unseen new EVCS expansion scenarios, opening new opportunities for efficient large-scale EVCS assessments. Results on a 124-bus MV Network show that decision tree-based models can predict reinforcement actions and investments with a deviation of less than 1%. © 2025 The Author(s)",10.1016/j.epsr.2025.112376,2026,"planning,uc_ed,grid,ev",planning,merged_dedup.csv,10.1016/j.epsr.2025.112376,18,high
maybe,,Clustering methodologies for flexibility characterization of electric vehicles supply equipment,"The continuous growth of electric vehicles (EVs) poses new challenges to power systems planning and operation due to the need to meet society's decarbonization goals. In this context, clustering has emerged as a powerful tool to help understand and categorize the uncertain behavior of EV users and the electric vehicle supply equipment (EVSE) needs. However, previous studies lack empirical European EV charging data and relevance for practical applications.Therefore, to address such issues, this study evaluates different clustering techniques to identify typical EV charging profiles and, mainly, usage flexibility. The defined methodology comprises three major stages: data preprocessing, clustering application, and validation of results. We conduct benchmarking based on EV energy consumption, arrival, and sojourn times, using K-means, Gaussian mixture model, and Hierarchical clustering. This method allows greater applicability to various datasets from different regions, producing more comprehensive profiles that can provide empirical flexibility data in a visual, intuitive, and relevant approach.A use case considering EV charging data from Caltech University and Greece is utilized to test the proposed methods, demonstrating the versatility of our methodology.Specifically, Caltech features highly flexible prolonged charging sessions, while Greece exhibits quick-stay sessions with less flexibility potential. Both contexts offer opportunities to use the available flexibility for coordination with renewable energy sources and help balance the grid. This information unlocks the potential for future studies, enabling distribution system operators and charge point operators to intelligently and successfully integrate EVs into the energy system. © 2025 The Author(s)",10.1016/j.geits.2025.100304,2026,"planning,uc_ed,grid,ev",planning,merged_dedup.csv,10.1016/j.geits.2025.100304,18,high
maybe,,A bi-Level collaborative optimization strategy for power quality in distribution networks based on fuzzy triple black hole multi-objective optimization algorithm,"With the large-scale integration of renewable energy units and electric vehicles (EVs) into distribution networks, enhancing the power quality of these networks has emerged as a critical issue requiring immediate attention. Meanwhile, existing solution methods are inadequate for meeting the multi-objective optimization needs of distribution networks. This study establishes a bi-level collaborative optimization strategy for improving power quality in distribution networks. Specifically, the upper planning tier aims to minimize comprehensive costs through multi-component collaborative planning. The lower operational tier, based on the comprehensive performance evaluation decision model (CPEDM), conducts coordinated scheduling of multiple components by considering both economic benefits and power quality indicators. Furthermore, a fuzzy triple black hole multi-objective optimization algorithm (MOFTBH), which boasts high solution quality, uncertainty handling capabilities, and high adaptability, is developed and employed to solve the bi-level collaborative model. The study focuses on the IEEE-33 system as the research subject, leveraging the MOFTBH for analysis. Simulation results indicate that the optimization strategy presented in this study improves economic benefits and power quality by 45.43% and 19.90%, respectively, compared to the case without any optimization. Specifically, indices such as voltage deviation, voltage fluctuation, and harmonic distortion have improved by 39.01%, 127.45% and 113.14%, MOFTBH demonstrates a 30% faster Pareto front convergence rate compared to benchmark algorithms, with a 25% improvement in solution set uniformity. Under equivalent iteration counts, the objective function values show an optimization range of 18.7%–23.4%. This planning model aims to provide intelligent and green strategies for future smart grid construction and facilitate the commercial expansion of distribution network operators. © 2025 Elsevier Ltd",10.1016/j.ref.2025.100760,2026,"planning,uc_ed,grid,ev",planning,merged_dedup.csv,10.1016/j.ref.2025.100760,18,high
maybe,,A sustainable approach to hybrid microgrid design: Optimal sizing and energy management,"The growing need for sustainable energy solutions in modern power systems emphasizes the importance of optimizing microgrids to address the critical challenge of effectively managing and integrating local renewable resources, energy storage systems, and electric vehicle charging stations. For this reason, this paper investigates the optimal sizing and energy management of a hybrid grid-connected microgrid incorporating local AC loads, renewable energy units, energy storage systems, and DC loads in the form of an electric vehicle charge station. A comprehensive optimization framework is developed to effectively balance energy supply and demand in order to have minimized levelized cost of energy (LCOE) and life cycle environmental emissions (LCEE). This study also incorporates the annual growth rate of local energy demand into the optimization framework. It is considered to make sure that the size of renewable units and the energy storage system, and also their energy management, will be adaptive to future demand fluctuations. The numerical evaluation of the proposed method demonstrates its effectiveness in optimizing the sustainable microgrid with a low LCOE and a reduced LCEE. The optimized configuration demonstrates superior operational efficiency. © 2025 The Authors",10.1016/j.renene.2025.124078,2026,"planning,uc_ed,grid,ev",planning,merged_dedup.csv,10.1016/j.renene.2025.124078,18,high
maybe,,Enhancing EV charging in Nepal: Strategic sizing and placement of solar – Powered battery system in Byasi Feeder,"The rapid adoption of electric vehicles (EVs) globally demands expanded charging infrastructure; however, their unplanned integration into radial distribution systems (RDS) often causes voltage instability, high power losses, and system inefficiencies. This study optimizes the placement and sizing of solar photovoltaic-battery system (PV-BESS) in Nepal's 30-bus Byasi feeder to mitigate these issues. Employing particle swarm optimization (PSO) and MATLAB/Simulink, the proposed approach reduces active power loss by 56.18 % (477 kW–209 kW) and improves minimum bus voltage by 2.57 % (0.9404–0.9646 p.u.) through integration of 2576 kW PV and 1311 kW BESS. The application of novel energy management strategy further curtails peak demand by 38.3 % (3700 kW–2283 kW). The solution achieves financial viability with approximately 9-year payback period. This research pioneers a comprehensive technical-operational-economic assessment for EV charging-oriented PV-BESS planning in Nepal's RDS, demonstrating how weighted multi-objective optimization balances power loss reduction and voltage improvement while ensuring economic feasibility. The findings provide a replicable framework for sustainable EV infrastructure development in similar distribution networks, highlighting the critical importance of strategic renewable energy integration for grid stability. The study's methodology and results offer valuable insights for utilities and policymakers addressing EV charging infrastructures challenges in developing power systems. © 2025 Elsevier Ltd",10.1016/j.renene.2025.124145,2026,"planning,uc_ed,grid,ev",planning,merged_dedup.csv,10.1016/j.renene.2025.124145,18,high
maybe,,Optimal operation and planning of hydrogen refueling stations for hydrogen fuel cell vehicles: A typical techno-economic-environmental paradigm,"The planning and operation of hydrogen refueling station (HRS) face significant challenges due to the spatiotemporal uncertainties of hydrogen demand, the complex coupling between transportation and power grids, and the need to balance economic viability, grid stability, and user satisfaction. The existing planning methods also lack an assessment of hydrogen supply strategies. To address these challenges, this study proposes a bi-level optimization model for HRS planning and operation considering traffic-power coupling. The upper-level model establishes a multi-objective framework based on spatiotemporal hydrogen demand forecasting, aiming to minimize total system cost and power grid voltage fluctuations while maximizing user satisfaction. The lower-level model optimizes operational decisions by minimizing hydrogen total usage costs, explicitly evaluating the economic and environmental impacts of various hydrogen supply sources. Case studies are conducted using the real road network of Kunming city coupled with extended IEEE-118 system. The model is solved using a combination of the NSGA-III and Gurobi. The optimal solution yields a comprehensive cost of 5.4735 million RMB, user satisfaction of 0.778, and voltage fluctuation of 0.0035 p.u. Moreover, the lower-level results confirm that, under the premise of prioritizing green hydrogen, the multi-source hydrogen supply strategy offers significantly superior cost efficiency compared to single-source solutions. © 2025 Elsevier Ltd",10.1016/j.renene.2025.124459,2026,"planning,uc_ed,grid,ev",planning,merged_dedup.csv,10.1016/j.renene.2025.124459,18,high
maybe,,Robust Expansion Planning of Distribution Network in Presence of Electric Vehicles to Improve Economic Parameters and Reduce Energy Consumption,"First-world countries and underdeveloped countries share concerns regarding global warming, climate change, and climate migration. Hence, one of the greatest issues faced by governments in the present day is to effectively control the escalating pace of climate change and achieve equilibrium since it directly impacts the future. The fate of the human race hinges on this matter. One of the contributors to the production of pollutants and global warming is the use of cars based on nonrenewable fuel. Consequently, most governments must eliminate fossil fuel vehicles and substitute them with electric vehicles (EV) as part of their short-term and long-term goals. However, the growing adoption of EVs has made it crucial for operators and network designers to strategically plan for electric power consumption, adapt the distribution network structure, and accurately determine the optimal number and positioning of charging stations. Thus, this paper utilizes a convex solution method based on integer linear programming to effectively plan the expansion of the distribution network considering the availability of EV charging stations, compensators, substations, resources, and new lines. This article aims to minimize the long-term expenses associated with constructing network infrastructure, subtransmission substations, EV charging stations, building sources, capacitor banks, and procuring power from the upstream network. The YALMIP toolbox in MATLAB software was utilized to model and solve the objective function of this problem, which is expressed in both deterministic and nondeterministic versions. The MOSEK solver was employed as the problem-solving tool. Three scenarios were implemented to plan the growth of the network on the 18-bus bus system. The results indicate that having EV charging stations in the network can be advantageous as it improves reliability and reduces network costs. © 2025 The Author(s). Engineering Reports published by John Wiley & Sons Ltd.",10.1002/eng2.70158,2025,"planning,uc_ed,grid,ev",planning,merged_dedup.csv,10.1002/eng2.70158,18,high
maybe,,Predicting Electric Vehicle Charging Demand in Residential Areas Using POI Data and Decision-Making Model,"Transport electrification is a crucial element of the ongoing energy transition, essential for achieving carbon peaking and carbon neutrality goals. The proliferation of electric vehicles (EVs) introduces significant challenges to power distribution network stability due to their aggregated charging load in residential areas, particularly during peak electricity consumption periods. This paper proposes a method to predict the spatiotemporal distribution of EV charging demand in residential areas using geographic information points of interest (POI) data features and a decision-making model. Utilizing real historical data, probability distribution models for EV users' arrival times and charging characteristics were constructed using Gaussian Mixture Models (GMM). The spatiotemporal characteristics of EV travel and charging behaviors were analyzed, and a comprehensive charging decision model incorporating both emergency and stochastic scenarios was developed. The model's efficacy in capturing the probability distributions of characteristic variables was validated through a case study. The results demonstrate the model's potential for accurately predicting EV charging demand, providing valuable insights for infrastructure planning and resource allocation. © 2024 Institute of Electrical Engineers of Japan and Wiley Periodicals LLC. © 2024 Institute of Electrical Engineers of Japan and Wiley Periodicals LLC.",10.1002/tee.24220,2025,"planning,uc_ed,grid,ev",planning,merged_dedup.csv,10.1002/tee.24220,18,high
maybe,,Coronavirus Herd Immunity Optimizer for Optimal Electric Vehicle Charging Stations in Distribution Networks with Integrated Distributed Generations,"Planning and developing infrastructure for electric vehicle charging stations (EVCS) is necessary to serve the rapidly increasing number of electric vehicles (EVs) today. On the other hand, issues of stable operation, solving complex constraints, optimizing renewable energy sources, and economic efficiency of EVCS investment in the distribution network are of interest. In this study, we proposed a model to determine the optimal location and size of EVCS in the distribution network with integrated distributed generation (DG) in two objective functions; the first is to minimize power loss, the second is to minimize the cost of power loss and the cost of installing EVCS in the distribution network. The Coronavirus Herd Immunity Optimization (CHIO) method is applied to solve the problem; the IEEE 34 bus distribution network is used for testing and it is simulated in Matlab software. The results of the problem are compared with published models, demonstrating the effectiveness of the CHIO algorithm, as well as the EVCS location optimization problem model. © 2025 Institute of Electrical Engineers of Japan and Wiley Periodicals LLC. © 2025 Institute of Electrical Engineers of Japan and Wiley Periodicals LLC.",10.1002/tee.70074,2025,"planning,uc_ed,grid,ev",planning,merged_dedup.csv,10.1002/tee.70074,18,high
