Scopus refine results values

"Your query : (TITLE-ABS-KEY( (""electric vehicle*"" OR ""plug-in vehicle*"" OR ""plug-in hybrid"" OR EV) AND (""distribution network"" OR ""distribution networks"" OR ""distribution system"" OR ""distribution systems"" OR ""distribution grid"" OR ""distribution feeder*"" OR ""radial feeder*"" OR ""low-voltage network"" OR ""LV network"" OR ""low voltage network"" OR ""medium-voltage network"" OR ""MV network"" OR ""medium voltage network"") AND ( ""charging station"" OR ""charging stations"" OR ""charging infrastructure"" OR ""charging facility"" OR ""charging facilities"" OR ""charging hub"" OR ""charging hubs"" OR ""electric vehicle supply equipment"" OR EVSE OR EVCS OR ""home charging"" OR ""residential charging"" OR ""home energy management"" OR ""smart home"" OR ""smart-home"" OR ""home battery"" OR ""residential storage"" OR siting OR ""siting and sizing"" OR sizing OR ""location-allocation"" OR ""location allocation"" OR ""facility location"" OR placement OR allocation OR ""infrastructure planning"" OR ""network planning"" ) AND ( ""power flow"" OR ""load flow"" OR ""power-flow"" OR ""load-flow"" OR ""voltage profile"" OR ""voltage constraint"" OR ""voltage constraints"" OR ""hosting capacity"" OR ""network reinforcement"" OR ""line capacity"" OR ""feeder capacity"" ) ) AND PUBYEAR > 2014 AND PUBYEAR < 2027 AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) OR LIMIT-TO ( SUBJAREA,""ENER"" ) )  AND ( LIMIT-TO ( DOCTYPE,""ar"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) )"


Number of results : 417

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","233","2026","5","Sudabattula, S.K.","7","Engineering","354","Article","417","final","410","Energies","38","Electric Vehicles","208","SASTRA Deemed University","8","National Natural Science Foundation of China","34","India","126","Journal","417","English","417"
"Gold","175","2025","107","Bhumkittipich, K.","5","Energy","262",,,"aip","7","IEEE Access","23","Charging (batteries)","172","Symbiosis International Deemed University","8","European Commission","11","China","76",,,"Ukrainian","1"
"Hybrid Gold","39","2024","77","Iqbal, A.","5","Computer Science","106",,,,,"Applied Energy","19","Electric Power Distribution","137","Symbiosis Institute of Technology","8","Fundamental Research Funds for the Central Universities","8","Iran","46",,,,
"Bronze","10","2023","73","Janamala, V.","5","Mathematics","77",,,,,"Electric Power Systems Research","18","Charging Station","135","Tsinghua University","7","Engineering and Physical Sciences Research Council","6","United States","46",,,,
"Green","103","2022","46","Das, D.","4","Environmental Science","42",,,,,"Journal of Energy Storage","18","Electric Load Flow","134","The University of Sydney","7","National Key Research and Development Program of China","6","Australia","27",,,,
,,"2021","31","Guerrero, J.M.","4","Materials Science","36",,,,,"Sustainable Energy Grids and Networks","14","Electric Vehicle Charging","131","Qatar University","7","European Regional Development Fund","5","Egypt","24",,,,
,,"2020","26","Khan, I.","4","Social Sciences","31",,,,,"IEEE Transactions on Industry Applications","11","Electric Vehicle","113","Lovely Professional University","7","HORIZON EUROPE Framework Programme","5","Spain","17",,,,
,,"2019","18","Kongjeen, Y.","4","Physics and Astronomy","12",,,,,"IEEE Transactions on Transportation Electrification","11","Optimization","75","Department of Electrical Engineering, College of Engineering, Qatar University","7","Junta de Comunidades de Castilla-La Mancha","5","United Kingdom","17",,,,
,,"2018","8","Marzband, M.","4","Economics, Econometrics and Finance","11",,,,,"International Journal of Electrical Power and Energy Systems","11","Vehicle-to-grid","72","Southeast University","6","UK Research and Innovation","5","Italy","15",,,,
,,"2017","13","Salkuti, S.R.","4","Chemical Engineering","7",,,,,"Results in Engineering","10","Charging Stations","71","Faculty of Engineering","6","Energimyndigheten","4","Canada","13",,,,
