"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Texts","Document Type","Publication Stage","Open Access","Source","EID"
"Safarzadeh, H.; Sarvestani, M.E.; Enayati, M.; Di Maria, F.","Safarzadeh, Hamid (57205727057); Sarvestani, Maryam Ebrahimzadeh (58070625800); Enayati, M. (59560117600); Di Maria, Francesco (7003701053)","57205727057; 58070625800; 59560117600; 7003701053","Hourly energy demand impacts of battery electric vehicle adoption in Italy: A grid simulation and policy analysis","2026","Renewable Energy Focus","56","","100761","","","2","10.1016/j.ref.2025.100761","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016788465&doi=10.1016%2Fj.ref.2025.100761&partnerID=40&md5=6044e8babdde60fc863d6b7df86d17b8","The growing adoption of Battery Electric Vehicles (BEVs) poses significant challenges to electricity grids, especially in countries aiming for rapid decarbonization. This study evaluates the hourly impact of BEV integration on Italy's energy system using a Python-based simulation model. Two scenarios are analyzed for 2024: (1) 3.5 million BEVs and (2) 7 million BEVs. The model incorporates hourly charging profiles for household and highway fast-charging, Italy's renewable energy mix (solar, wind, hydro, bioenergy), and a 5 GWh battery energy storage system. Results show that Scenario 1 increases daily electricity demand by 19 % (to 1.1 TWh), with peak loads of 47–49 GW, requiring 152 GWh of thermal generation and emitting 76,000 tons of CO<inf>2</inf> daily. Scenario 2 raises demand by 40 % (to 1.25 TWh), with peak loads of 50–53 GW, 224 GWh of thermal generation, and 112,000 tons of CO<inf>2</inf> emissions. Existing storage mitigates 20 % of peak load but is insufficient for Scenario 2’s 15 GW shortfall. Key demand spikes occur at 01:00 and 11:00–18:00, coinciding with home and highway charging. Policy strategies such as time-of-use tariffs, expanding storage to 15 GWh, and doubling solar capacity could reduce emissions by up to 35 % and supply 80 % of BEV charging needs during daylight hours. This hourly-resolution analysis offers critical insights for grid planning and supports the EU's Fit for 55 targets. © 2025 The Author(s)","Battery Electric Vehicles (BEVs); Energy demand; Grid management; Italy; Smart charging; Sustainable transportation","Automotive batteries; Electric energy storage; Fast charging (Batteries); Solar energy; Vehicle-to-grid; Battery electric vehicle; Battery-electric vehicles; Energy demands; Grid management; Grid simulations; Italy; Peak load; Smart charging; Sustainable transportation; Thermal generation; Electric power transmission networks","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105016788465"
"Yang, X.; Xu, J.; Wu, C.; Guo, L.; Wang, Z.; Zhong, R.; Tu, Z.; Yang, P.","Yang, Xiaohui (57210637811); Xu, Jiajing (60100364600); Wu, Chilv (58481918700); Guo, Lingjun (60100409600); Wang, Zhicong (59511062300); Zhong, Rui (60100532900); Tu, Zekai (60100533000); Yang, Peng (59936575100)","57210637811; 60100364600; 58481918700; 60100409600; 59511062300; 60100532900; 60100533000; 59936575100","A bi-Level collaborative optimization strategy for power quality in distribution networks based on fuzzy triple black hole multi-objective optimization algorithm","2026","Renewable Energy Focus","56","","100760","","","0","10.1016/j.ref.2025.100760","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016113038&doi=10.1016%2Fj.ref.2025.100760&partnerID=40&md5=aa628552c52f96aa563b07aad4bd5490","With the large-scale integration of renewable energy units and electric vehicles (EVs) into distribution networks, enhancing the power quality of these networks has emerged as a critical issue requiring immediate attention. Meanwhile, existing solution methods are inadequate for meeting the multi-objective optimization needs of distribution networks. This study establishes a bi-level collaborative optimization strategy for improving power quality in distribution networks. Specifically, the upper planning tier aims to minimize comprehensive costs through multi-component collaborative planning. The lower operational tier, based on the comprehensive performance evaluation decision model (CPEDM), conducts coordinated scheduling of multiple components by considering both economic benefits and power quality indicators. Furthermore, a fuzzy triple black hole multi-objective optimization algorithm (MOFTBH), which boasts high solution quality, uncertainty handling capabilities, and high adaptability, is developed and employed to solve the bi-level collaborative model. The study focuses on the IEEE-33 system as the research subject, leveraging the MOFTBH for analysis. Simulation results indicate that the optimization strategy presented in this study improves economic benefits and power quality by 45.43% and 19.90%, respectively, compared to the case without any optimization. Specifically, indices such as voltage deviation, voltage fluctuation, and harmonic distortion have improved by 39.01%, 127.45% and 113.14%, MOFTBH demonstrates a 30% faster Pareto front convergence rate compared to benchmark algorithms, with a 25% improvement in solution set uniformity. Under equivalent iteration counts, the objective function values show an optimization range of 18.7%–23.4%. This planning model aims to provide intelligent and green strategies for future smart grid construction and facilitate the commercial expansion of distribution network operators. © 2025 Elsevier Ltd","Bi-level optimization of distribution networks; Comprehensive performance evaluation decision model; Fuzzy logic controller; Fuzzy triple black hole multi-objective optimization algorithm; Multi-component collaborative governance; Power quality","Benchmarking; Function evaluation; Multiobjective optimization; Power distribution networks; Renewable energy; Smart power grids; Bi-level optimization; Bi-level optimization of distribution network; Black holes; Collaborative governances; Comprehensive performance evaluation; Comprehensive performance evaluation decision model; Decision modeling; Fuzzy logic controllers; Fuzzy triple black hole multi-objective optimization algorithm; Multi-component collaborative governance; Multi-objectives optimization; Multicomponents; Optimization algorithms; Power; Power quality","","Article","Final","","Scopus","2-s2.0-105016113038"
"Forte, M.; Guzman, C.P.; Lekidis, A.; Morais, H.","Forte, Marcelo (59980918200); Guzman, Cindy P. (55648370300); Lekidis, Alexios (56258837200); Morais, H. Gabriel (21834170800)","59980918200; 55648370300; 56258837200; 21834170800","Clustering methodologies for flexibility characterization of electric vehicles supply equipment","2026","Green Energy and Intelligent Transportation","5","1","100304","","","3","10.1016/j.geits.2025.100304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022651847&doi=10.1016%2Fj.geits.2025.100304&partnerID=40&md5=8bccd90584719a03c218e72a1c88bb4d","The continuous growth of electric vehicles (EVs) poses new challenges to power systems planning and operation due to the need to meet society's decarbonization goals. In this context, clustering has emerged as a powerful tool to help understand and categorize the uncertain behavior of EV users and the electric vehicle supply equipment (EVSE) needs. However, previous studies lack empirical European EV charging data and relevance for practical applications.Therefore, to address such issues, this study evaluates different clustering techniques to identify typical EV charging profiles and, mainly, usage flexibility. The defined methodology comprises three major stages: data preprocessing, clustering application, and validation of results. We conduct benchmarking based on EV energy consumption, arrival, and sojourn times, using K-means, Gaussian mixture model, and Hierarchical clustering. This method allows greater applicability to various datasets from different regions, producing more comprehensive profiles that can provide empirical flexibility data in a visual, intuitive, and relevant approach.A use case considering EV charging data from Caltech University and Greece is utilized to test the proposed methods, demonstrating the versatility of our methodology.Specifically, Caltech features highly flexible prolonged charging sessions, while Greece exhibits quick-stay sessions with less flexibility potential. Both contexts offer opportunities to use the available flexibility for coordination with renewable energy sources and help balance the grid. This information unlocks the potential for future studies, enabling distribution system operators and charge point operators to intelligently and successfully integrate EVs into the energy system. © 2025 The Author(s)","Clustering; Electric vehicle supply equipment; Electric vehicles; Power flexibility; Power systems planning","Charging (batteries); Energy utilization; Gaussian distribution; Hierarchical clustering; K-means clustering; Natural resources; Renewable energy; Caltech; Clusterings; Context clustering; Decarbonisation; Electric vehicle charging; Electric vehicle supply equipments; Power flexibility; Power system planning and operation; Power systems planning; Vehicle pose; Electric vehicles","This document is the results of the research project funded by European Union's Horizon Europe R&I programme under grant agreement no. 101056765. Views and opinions expressed in this document are however those of the authors only and do not necessarily reflect those of the European Union or the European Climate, Infrastructure and Environment Executive Agency (CINEA). Neither the European Union nor the grating authority can be held responsible for them. This work was also supported by national funds through FCT, Funda\u00E7\u00E3o para a Ci\u00EAncia e a Tecnologia, under project UIDB/50021/2020 (DOI:10.54499/UIDB/50021/2020) and within the scope of the project n\u00BA 56 - \u201CATE\u201D, financed by European Funds, namely \u201CRecovery and Resilience Plan - Component 5: Agendas Mobilizadoras para a Inova\u00E7\u00E3o Empresarial\u201D, included in the NextGenerationEU funding program.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105022651847"
"Altinpulluk, D.; Yildirim, M.","Altinpulluk, Deniz (58669035600); Yildirim, Murat (57069627100)","58669035600; 57069627100","Robust condition-based generation maintenance: Balancing operations and start/stop cycling to control asset degradation rates","2026","Reliability Engineering and System Safety","266","","111776","","","0","10.1016/j.ress.2025.111776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017845814&doi=10.1016%2Fj.ress.2025.111776&partnerID=40&md5=0d0722d943bdcc222dc2112ab89cefdf","The integration of renewable energy, distributed generation, and electric vehicle charging into modern power grids has created a highly variable operational environment. Current operations and maintenance models lack the flexibility to accommodate this increased variability and its effects on degradation, leading to more frequent start/stop cycles that significantly impact asset lifespans. In this paper, we propose a robust optimization framework designed to optimize generation maintenance schedules and unit commitment decisions in power systems. Our approach explicitly models the impact of start/stop cycling on remaining useful lifetime distributions, providing accurate failure risk assessments. By incorporating sensor-informed and decision-dependent degradation models within an operations and maintenance optimization model, our framework effectively balances lifetime utilization, failure risks, and operational efficiency. We validate the effectiveness of our framework through computational experiments using real-world degradation signals, demonstrating its advantages over the benchmark models. © 2025","Degradation modeling; Operations and maintenance; Power generation maintenance; Reliability; Robust optimization","Condition based maintenance; Degradation; Optimization; Outages; Risk assessment; Safety engineering; Condition; Degradation model; Degradation rate; Electric vehicle charging; Integration of renewable energies; Operational environments; Operations and maintenance; Power generation maintenance; Power grids; Robust optimization; Reliability","","Article","Final","","Scopus","2-s2.0-105017845814"
"Roy, T.K.","Roy, Tushar Kanti (56648234700)","56648234700","Techno-economic assessment of Hybrid Renewable Energy Systems with advanced EMS and renewable energy-based EV charging with V2H integration for remote and grid-edge Australian communities","2026","Energy Conversion and Management","348","","120725","","","0","10.1016/j.enconman.2025.120725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021808271&doi=10.1016%2Fj.enconman.2025.120725&partnerID=40&md5=e800f06d3bb2e491e5fb335f756fab66","Remote and off-grid Australian communities face persistent energy insecurity because of their dependence on diesel-based microgrids, which are both economically and environmentally unsustainable. This study proposes and comprehensively evaluates three Hybrid Renewable Energy System (HRES) configurations, namely off-grid, off-grid with Vehicle-to-Home (V2H), and on-grid, integrating solar Photovoltaic (PV), Wind Turbines (WT), Battery Energy Storage (BES), and Electric Vehicles (EVs). It conducts a detailed techno-economic assessment of these configurations using a rule-based energy management strategy designed to identify the most balanced and sustainable design. A novel rule-based Energy Management System (EMS) is developed to enable real-time, degradation-aware dispatch that accounts for EV availability, battery and EV aging, and local renewable variability. The EMS is computationally efficient, transparent, and suitable for embedded control platforms operating in infrastructure-constrained microgrids. Using hourly simulations over a 20-year horizon with realistic solar, wind, residential load, and rural EV mobility datasets, this work assesses each configuration within a unified techno-economic, environmental, and social framework. Key performance indicators include Net Present Cost (NPC), Levelized Cost of Energy (LCOE), Return on Investment (ROI), lifecycle CO<inf>2</inf> emissions, employment creation, and Human Development Index (HDI) improvement. The off-grid system with V2H integration demonstrates the most balanced performance, achieving a 96.4 % renewable share, Loss of Power Supply Probability (LPSP) of 0.00017, and a 91.2% reduction in CO<inf>2</inf> emissions compared with the diesel baseline. It also reduces NPC to $199,235, shortens payback to 7.12 years, and increases ROI (0.755) and IRR (12.80%). The on-grid configuration achieves a lower LCOE (0.1010 $/kWh) but compromises energy autonomy and environmental performance. Sensitivity analysis identifies battery cost and project lifetime as the dominant influencing factors. Overall, this study provides a scalable and practical blueprint for resilient and inclusive energy access in remote regions, offering valuable insights for policymakers and practitioners seeking to integrate transport electrification with decentralized renewable-energy planning. © 2025 The Author.","Degradation-aware dispatch; Lifecycle carbon-neutral energy access; Multi-scenario renewable configuration assessment; Rule-based EMS for remote microgrids; Vehicle-to-Home (V2H) energy sharing","Charging (batteries); Costs; Ecodesign; Electric power transmission networks; Energy management; Investments; Microgrids; Renewable energy; Secondary batteries; Sensitivity analysis; Solar power generation; Sustainable development; Vehicles; Wind turbines; Carbon neutrals; Degradation-aware dispatch; Energy; Energy access; Energy sharings; Lifecycle carbon-neutral energy access; Management systems; Microgrid; Multi scenarios; Multi-scenario renewable configuration assessment; Renewables; Rule based; Rule-based energy management system for remote microgrid; Vehicle-to-home (V2H) energy sharing; Life cycle","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105021808271"
"Waqar, M.; Kim, Y.-W.; Byun, Y.-C.","Waqar, Muhammad (59951559900); Kim, Yong Woon (57991628200); Byun, Yungcheol (8897891700)","59951559900; 57991628200; 8897891700","A hybrid deep learning framework for multivariate energy forecasting and peak load prediction in electric vehicle charging infrastructure","2026","Applied Energy","402","","126964","","","0","10.1016/j.apenergy.2025.126964","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021856858&doi=10.1016%2Fj.apenergy.2025.126964&partnerID=40&md5=d45ab6dcc5a3336ab95b200dbe2e7ba6","Electric vehicles (EVs) play a pivotal role in sustainable mobility and the decarbonization of transport sector. Accurate forecasting of energy demand at EV charging station clusters (EVCSCs) is essential for optimizing smart grid operations, reducing peak load stress, and guiding cost-effective infrastructure deployment. This study presents a unified and scalable hybrid deep learning framework that integrates convolutional neural networks (CNNs), bidirectional LSTM and GRU units (BiLSTM/BiGRU), and attention mechanisms to model complex spatiotemporal dynamics in EV charging data. Domain-specific feature engineering, incorporating lag and rolling window statistics, is combined with Keras Tuner-based hyperparameter tuning and Genetic Algorithm-based time-step optimization to enhance the models’ adaptability and performance across diverse urban environments. Unlike conventional univariate methods, our framework supports multivariate forecasting by jointly predicting daily energy consumption, greenhouse gas (GHG) savings, and gasoline displacement. It also includes weekly peak day forecasting, enabling utility operators to anticipate high-load periods and manage demand-side resources more effectively. The models are trained and evaluated on four real-world public datasets (Palo Alto, Boulder, Dundee, Perth) representing varying consumption patterns and feature granularities. The results demonstrate superior accuracy in terms of RMSE, MAE, and R2 (up to 0.99), consistently outperforming baseline and state-of-the-art approaches. By integrating operational forecasting with environmental impact metrics, this framework provides a scalable and data-driven tool for intelligent EV energy management system (EMS). It contributes to sustainable energy planning and supports decarbonization strategies aligned with global Net Zero and sustainable development goal (SDG) targets. © 2025 Elsevier Ltd","Environmental impact; EV energy prediction; Genetic algorithm; GHG and gasoline savings; Lag rolling features; Multivariate forecasting; Peak day prediction","Charging (batteries); Charging stations; Convolutional neural networks; Deep learning; Electric load forecasting; Energy conservation; Energy management; Energy utilization; Environmental management; Greenhouse gases; Smart power grids; Sustainable development; Electric vehicle energy prediction; Energy prediction; Greenhouse gas and gasoline saving; Greenhouses gas; Lag rolling feature; Learning frameworks; Multivariate forecasting; Peak day prediction; Peak load; Vehicle energy; Environmental impact; alternative energy; electric vehicle; energy management; energy planning; environmental impact; genetic algorithm; greenhouse gas; machine learning; Sustainable Development Goal; urban atmosphere; Australia; Boulder; California; Colorado; Dundee [Dundee (ADS)]; Dundee [Scotland]; Palo Alto; Perth [Western Australia]; Scotland; United Kingdom; United States; Western Australia","This work was supported by the National Research Foundation of Korea (NRF) grant funded by the Korean government (MSIT) (No. RS-2024-00405278 ). This research was also supported by the Regional Innovation System & Education (RISE) program through the Jeju RISE center, funded by the Ministry of Education (MOE) and the Jeju Special Self-Governing Province, Republic of Korea ( 2025-RISE-17-001 ).","Article","Final","","Scopus","2-s2.0-105021856858"
"Dindar, J.; Assimi, H.; Ranjbar, H.","Dindar, Jamal (59974326500); Assimi, Hirad (56513974300); Ranjbar, Hossein (56898822100)","59974326500; 56513974300; 56898822100","Sustainable planning of electric bus systems: Degradation-aware and climate-specific techno-economic analysis","2026","Applied Energy","402","","127039","","","0","10.1016/j.apenergy.2025.127039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021565527&doi=10.1016%2Fj.apenergy.2025.127039&partnerID=40&md5=96f5995d0067377c3304c75cf8d47980","The transition to battery electric buses (BEBs) offers a promising pathway to decarbonize urban transport. However, planning their deployment requires careful evaluation of both economic and environmental trade-offs. This study presents a novel planning framework that jointly minimizes the total cost of ownership (TCO) and greenhouse gas (GHG) emissions by optimizing onboard battery size, charger power, and number of chargers, while incorporating a detailed battery aging model to capture real-world degradation under varying temperatures and charging conditions. A comparative analysis is conducted across four cities-Singapore, Adelaide, Munich, and Calgary-each representing distinct climate profiles, electricity prices, and grid emission intensities. The study also evaluates three widely used lithium-ion battery chemistries: LFP, NMC, and NCA. Results reveal substantial variation in optimal BEB configurations across regions. Colder cities require larger batteries and higher charging power to maintain reliability, resulting in increased costs and emissions, while milder climates with cleaner grids support more cost-effective and sustainable solutions. Critically, the analysis demonstrates that no single configuration performs best across all locations or chemistries-underscoring that one-size-fits-all approaches are unsuitable for BEB planning. These findings provide actionable insights for policymakers and transit agencies aiming to deploy BEBs effectively under diverse regional conditions. © 2025 The Author(s)","Battery aging; Battery electric buses; Charging infrastructure planning; Greenhouse gas emissions; Multi-objective optimization; Sustainable transport","Battery management systems; Bus transportation; Charging (batteries); Cost benefit analysis; Cost effectiveness; Economic and social effects; Electric power system economics; Greenhouse gas emissions; Greenhouse gases; Lithium-ion batteries; Multiobjective optimization; Sustainable development; Urban transportation; Battery aging; Battery electric bus; Charging infrastructure planning; Charging infrastructures; Electric bus; Infrastructure planning; Multi-objectives optimization; Power; Sustainable transport; Economic analysis; battery; electric vehicle; energy planning; environmental economics; greenhouse gas; infrastructure planning; optimization; sustainability; technical efficiency; trade-off; urban transport","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105021565527"
"Feng, S.; Daziano, R.A.; Schumacher, K.M.; Sadek, B.A.","Feng, Siqi (59090429600); Daziano, Ricardo A. (47060993800); Schumacher, Kathryn M. (57188807574); Sadek, Bassel A. (57217025451)","59090429600; 47060993800; 57188807574; 57217025451","Modeling EV charging behavior with hybrid choice models","2026","Transportation Research Part A: Policy and Practice","203","","104750","","","0","10.1016/j.tra.2025.104750","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021032552&doi=10.1016%2Fj.tra.2025.104750&partnerID=40&md5=79177f6315a5daa1daec61f61492d4bb","Smart charging programs adjust the time of day of electric vehicle charging to reduce congestion in the grid, reduce the cost of electricity, and maximize renewable energy use. As General Motors partners with electric utilities to design and implement these programs, it is important to understand customers’ preferences and motivations for enrollment. A discrete choice experiment was conducted to quantify how customers trade off among program characteristics and incentives when deciding whether to enroll in demand response, managed charging, and fixed schedule programs. The data were used to estimate two hybrid choice models, which outperform a benchmark conditional logit model and systematically account for unobserved preference heterogeneity using discrete–continuous mixtures. The results indicate that monetary incentives and environmental benefits increase the likelihood of choosing a smart charging program. Meanwhile, there is notable preference heterogeneity regarding non-monetary program options and enrollment perks. Latent environmental concern was constructed as a useful dimension for differentiating customers: those with higher environmental concern tend to exhibit higher valuations of reducing emissions and maximizing renewable energy use. We further linked preferences to five personas based on sociodemographic clustering. The findings enable targeted marketing efforts that highlight the environmental benefits of smart charging to the customer groups most likely to be environmentally concerned. © 2025 Elsevier Ltd","Electric vehicles; Environmental concern; Hybrid choice models; Smart charging","Charging (batteries); Charging stations; Economic and social effects; Economics; Electric utilities; Sales; Charging programs; Choice model; Environmental benefits; Environmental concerns; EV Charging; Hybrid choice model; Preference heterogeneity; Renewable energy use; Smart charging; Time of day; Electric vehicles; cost analysis; electric vehicle; energy use; smart grid; transportation development; transportation planning; travel demand","This work was possible as part of a research collaboration between General Motors LLC and Cornell University. The authors are deeply thankful to GM for funding this research project. Over the revision period, we thank the three anonymous reviewers for their constructive criticism and valuable suggestions, and Ricardo A. Daziano also acknowledges support by the National Science Foundation Award No. SES-2342215.","Article","Final","","Scopus","2-s2.0-105021032552"
"Iqbal, M.N.; Bhatti, A.R.; Farhan, M.; Dawood Butt, A.D.","Iqbal, M. Naveed (59080561300); Bhatti, Abdul Rauf (55673298300); Farhan, Muhammad (57226822921); Dawood Butt, Arslan Dawood (55961865500)","59080561300; 55673298300; 57226822921; 55961865500","Optimizing the design of hybrid renewable energy systems considering electric vehicle loading","2026","Electric Power Systems Research","252","","112452","","","0","10.1016/j.epsr.2025.112452","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020906138&doi=10.1016%2Fj.epsr.2025.112452&partnerID=40&md5=4442edc72dd7bc0996e726b490623cc7","The main objective of this work is to enhance the efficiency of the proposed hybrid renewable energy system (HRES) in the presence of Electric Vehicles (EVs) by optimizing the sizes of its photovoltaic (PV), biomass, and fuel cell constituents. Thus, an improved approach called MCWOA (modified chaotic whale optimization algorithm) is proposed for optimal sizing of HRES by incorporating the Lévy Flight strategy into the chaotic whale optimization algorithm (WOA). The results obtained are compared with other standard optimization algorithms, like WOA, Chaotic WOA (CWOA), and Particle Swarm Optimization (PSO), which indicate that MCWOA outperforms all the above-mentioned algorithms in terms of Levelized Cost of Energy (LCOE) and reliability index, i.e., Loss of Power Supply Probability (LPSP). The LCOE of proposed HRES using MCWOA is found to be 1.1 %, 1.4 %, and 4.3 % lower compared to the obtained values using PSO, CWOA, and WOA, respectively. Similarly, the LPSP is 1.1 %, 1.8 % and 2.4 % lower compared to the obtained values using PSO, CWOA, and WOA, respectively. It is envisioned that this work will help the researchers and professionals working in the field of hybrid renewable energy systems to optimize their size with the integration of EVs before the installation of the system. © 2025 Elsevier B.V.","Electric vehicles (EV); Hybrid renewable energy system (HRES); Levelized cost of energy (LCOE); Modified chaotic whale optimization algorithm (MCWOA); Optimization; Reliability index","Electric power systems; Hybrid power; Hybrid vehicles; Renewable energy; Chaotics; Cost of energies; Electric vehicle; Energy systems; Hybrid renewable energies; Hybrid renewable energy system; Levelized cost of energy; Levelized costs; Modified chaotic whale optimization algorithm; Optimisations; Optimization algorithms; Reliability Index; Particle swarm optimization (PSO)","","Article","Final","","Scopus","2-s2.0-105020906138"
"Ahmed, F.; Ahmad, S.; Rahman, M.T.; Rifat Hazari, M.R.; Faiz, R.; Ahmed, T.; Karimi, M.","Ahmed, Fahim (59873392000); Ahmad, Shameem (57192665072); Rahman, Mir Toufikur (57205530600); Rifat Hazari, Md Rifat (57218825855); Faiz, Rethwan (54784256100); Ahmed, Tofael (57193693317); Karimi, Mazaher (49561491700)","59873392000; 57192665072; 57205530600; 57218825855; 54784256100; 57193693317; 49561491700","A holistic review of electric vehicle charging impacts on power distribution networks: Technical challenges, smart mitigation strategies and future directions","2026","Applied Energy","402","","126961","","","0","10.1016/j.apenergy.2025.126961","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020661617&doi=10.1016%2Fj.apenergy.2025.126961&partnerID=40&md5=568bc375c4ea63d3198621d2f6df40b1","Electric Vehicles (EVs) have emerged as a pivotal solution in the global transition toward sustainable transportation, offering significant reductions in greenhouse gas emissions and dependence on fossil fuels. The growing adoption of EVs is anticipated to significantly influence electrical power distribution networks. As EV adoption accelerates worldwide, their integration into existing electrical distribution networks poses considerable challenges, particularly concerning load demand, voltage stability. Recent research has increasingly focused on understanding and mitigating these impacts, through a wide array of analytical, simulation-based, and data-driven methods both with and without the implementation of network management strategies. However, a comprehensive, integrated synthesis of these studies linking technical findings with mitigation strategies and practical implications is still limited. Additionally, there is a lack of a thorough review consolidating the existing research on this subject, which is essential for understanding the scope of prior studies. Motivated by this gap, this review paper provides a critical and consolidated examination of the current literature on the impacts of EV on distribution networks. The paper's objective is to assess the comprehensive effects of EV integration and evaluate mitigation strategies across three core domains: network management, EV and Distributed generation (DG) coordination, and regulated charging solutions. The paper also introduces the role of artificial intelligence in enabling predictive, adaptive, and scalable solutions. It highlights key methodologies, data sources, modeling approaches, and the efficacy of various solutions while identifying prevailing research gaps and future directions, including real-time co-simulation, techno-economic assessments, and hybrid planning frameworks. Key outcomes of this study include a unified framework for understanding EV interactions with the grid and distribution network, a comparative analysis of mitigation approaches, and a set of recommendations for advancing research and deployment strategies. These findings aim to inform stakeholders about the latest advancements and support decision-making. The findings are particularly beneficial for utility providers, network planners, policymakers, charging infrastructure developers, and researchers seeking to develop robust, data-informed strategies for managing EV impacts and guide them in addressing unresolved challenges. © 2025 The Authors","AI for EV charging; Electric vehicles; EV charging; Hosting capacity; Load demand; Network management; Thermal capacity; Voltage stability","Charging (batteries); Decision making; Electric load distribution; Electric network parameters; Electric power distribution; Electric power transmission networks; Electric vehicles; Greenhouse gases; Information management; Power distribution networks; AI for electric vehicle charging; Electric vehicle charging; Hosting capacity; Load demand; Mitigation strategy; Networks management; Power distribution network; Technical challenges; Thermal; Network management; artificial intelligence; electric vehicle; electrical power; fossil fuel; greenhouse gas; mitigation","The research presented in the paper was develop within the project \u201CBest4Grid \u2013 Vehicle battery storage for green transport and grid stability in theNordics\u201D, which is part of the Nordic Grand Solutions Programme funded by Nordic Energy Research.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105020661617"
