PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Silapan, S; Patchanee, S; Kaewdornhan, N; Somchit, S; Chatthaworn, R				Silapan, Somporn; Patchanee, Sirikullaya; Kaewdornhan, Niphon; Somchit, Siripat; Chatthaworn, Rongrit			Optimal Sizing and Locations of Fast Charging Stations for Electric Vehicles Considering Power System Constraints	IEEE ACCESS				Article								With the increasing adoption of electric vehicles, it becomes crucial to ensure that Fast Charging Stations (FCSs) are strategically located and adequately sized to establish a dependable and accessible charging infrastructure. This study investigates the critical issue of optimizing the size and location of these stations, considering total costs, including investment costs, operation and maintenance costs, cost of power system loss, and power system reliability costs. To address this challenge, Particle Swarm Optimization (PSO), a powerful optimization technique, is employed to identify the optimal sizes and locations of FCSs. The PSO enables the consideration of complex relationships among variables such as Electric Vehicles (EVs) demand, station capacity, and power system limitations. From the perspective of the Transmission System Operator (TSO), the impact of FCSs on power system reliability has been evaluated using an Energy Not Supplied (ENS) index to evaluate power system reliability costs. Simulation results on the 193-bus test system in northeastern Thailand, conducted with Power Factory DIgSILENT software, validate the effectiveness of our proposed model and method. The results demonstrate that our approach not only identifies the optimal placement and size of FCSs with minimal overall costs but also ensures the operational security of the power system. The proposed method can solve the problem rapidly and accurately. Additionally, power system reliability is considered a criterion in the proposed method.	[Silapan, Somporn; Kaewdornhan, Niphon; Somchit, Siripat; Chatthaworn, Rongrit] Khon Kaen Univ, Dept Elect Engn, Khon Kaen 40002, Thailand; [Silapan, Somporn; Patchanee, Sirikullaya] Elect Generating Author Thailand, Nonthaburi 11130, Thailand; [Chatthaworn, Rongrit] Khon Kaen Univ, Ctr Alternat Energy Res & Dev, Khon Kaen, Thailand		Chatthaworn, R (corresponding author), Khon Kaen Univ, Dept Elect Engn, Khon Kaen 40002, Thailand.; Chatthaworn, R (corresponding author), Khon Kaen Univ, Ctr Alternat Energy Res & Dev, Khon Kaen, Thailand.	rongch@kku.ac.th								10	10												2024	12						139620	139631		10.1109/ACCESS.2024.3466969	http://dx.doi.org/10.1109/ACCESS.2024.3466969												2025-12-09	
J	Li, YL; Xie, KG; Wang, LF; Xiang, YM				Li, Yanlin; Xie, Kaigui; Wang, Lingfeng; Xiang, Yingmeng			The impact of PHEVs charging and network topology optimization on bulk power system reliability	ELECTRIC POWER SYSTEMS RESEARCH				Article								Exhausting fossil fuels and increasing environmental pollutions call for the wider deployment of plug-in hybrid electric vehicles (PHEVs), which enable the interactions of transportation and electric sectors. The extra loads for charging massive PHEVs could compromise the power system reliability and impose considerable stress on the power system. Transmission line congestions and generation capacity inadequacy could be caused under this circumstance. However, there is little literature which comprehensively studies the impact of large-scale PHEVs on the bulk power system reliability when smart grid technologies are incorporated including smart charging and flexible transmission topology control technologies. This work studies the impacts of different charging strategies and transmission network operation strategies on the bulk power system reliability with high PHEVs integration. An evolution strategy particle swarm optimization (ESPSO) algorithm is applied to optimize the charging load of PHEVs and shave the peak load. A network topology optimization (NTO) operation strategy is employed to lessen the transmission congestions and reduce the load curtailment. Based on the sequential Monte Carlo simulation method, these technologies are integrated into the reliability evaluation process. Numerical studies and sensitivity analysis are conducted on modified IEEE RTS-79 systems. The results verify the effectiveness of the technologies to realize the potential of existing power system infrastructures so as to relieve the stress caused by the PHEVs load, increase the available penetration of PHEVs and promote the bulk power system reliability which is meaningful for power system planning and risk management.	[Li, Yanlin; Xie, Kaigui] Chongqing Univ, State Key Lab Power Transmiss Equipment & Syst Se, Chongqing 400044, Peoples R China; [Wang, Lingfeng] Univ Wisconsin, Dept Elect Engn & Comp Sci, Milwaukee, WI 53211 USA; [Xiang, Yingmeng] GEIRI North Amer, San Jose, CA 95134 USA		Wang, LF (corresponding author), Univ Wisconsin, Dept Elect Engn & Comp Sci, Milwaukee, WI 53211 USA.	yanlinli1991@gmail.com; kaiguixie@vip.163.com; l.f.wang@ieee.org; yingmeng.xiang@geirina.net								26	31											OCT	2018	163		A				85	97		10.1016/j.epsr.2018.06.002	http://dx.doi.org/10.1016/j.epsr.2018.06.002												2025-12-09	
J	Wang, X; Karki, R				Wang, Xue; Karki, Rajesh			Exploiting PHEV to Augment Power System Reliability	IEEE TRANSACTIONS ON SMART GRID				Article								Environmental concerns with gasoline vehicles have led to increased attention to electric vehicles in recent years. Plug-in hybrid electric vehicles (PHEV) use both electricity and gasoline to propel the vehicle, and is being recognized as a potential alternative to conventional vehicles. PHEVs offer opportunity to use electric energy generated by renewable resources and significantly reduce greenhouse gas emissions. The electric energy requirement of PHEV can, however, cause negative impacts on the power system reliability, especially when the size of a PHEV fleet is relatively large. This paper presents the development of a probabilistic model considering the driving distance, charging times, charging locations, battery state of charge, and charging requirements of a PHEV. A methodology using hybrid analytical and Monte Carlo simulation approach is presented to evaluate the reliability of a power system integrated with PHEVs, considering the important PHEV characteristics, charging scenarios, and power system parameters. Studies are presented on the IEEE-reliability test system to illustrate the impact of PHEV penetration in a power system. Based on the study results, the methods of augmenting system reliability through controlled PHEV charging are presented in this paper.	[Wang, Xue; Karki, Rajesh] Univ Saskatchewan, Dept Elect & Comp Engn, Power Syst Res Grp, Saskatoon, SK S7N 5A9, Canada		Wang, X (corresponding author), Univ Saskatchewan, Dept Elect & Comp Engn, Power Syst Res Grp, Saskatoon, SK S7N 5A9, Canada.	shaylacanada@gmail.com; rajesh.karki@usask.ca								56	61											SEP	2017	8	5					2100	2108		10.1109/TSG.2016.2515989	http://dx.doi.org/10.1109/TSG.2016.2515989												2025-12-09	
J	McKillop, N; Wembridge, C; Ransome, S; Franklin, E; Lord, J				McKillop, Nathan; Wembridge, Chris; Ransome, Sarah; Franklin, Evan; Lord, James			Practical Testing and Modeling of Electric Vehicle Charger Responses During Power System Faults	IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS				Article								As electric vehicles gain popularity, consumers increasingly adopt them as an alternative to traditional internal combustion engine-driven vehicles. Electric vehicle chargers integrate with distribution networks via power electronic interfaces, offering significant control and operational flexibility. The industry is quickly adapting to this rapidly emerging load type, and now requires a robust means for understanding their impact on power system operations. This paper presents a modeling approach to capture the aggregate dynamic impact of these chargers on the power system in response to a range of network fault conditions. Six commonly available electric vehicles were empirically tested under various supply disturbances using a grid simulator, and their fault ride-through performances have been characterised. The undervoltage withstand capability of the six vehicles varied considerably, with fault voltage thresholds ranging between 0.3 and 0.7 pu leading to electric vehicles either ceasing charging for between similar to 2 and 10 seconds, or locking out completely. A composite dynamic load model for electric vehicles was developed and validated, employing the collected empirical data. The validation process demonstrated the aggregate load model's capability to accurately capture the resulting load deficit owing to electric vehicle fault ride-through in response to transmission-level faults. The proposed model is suitable for application in wide-area power system studies to enhance the accuracy of simulated network load response for frequency assessments, operations planning, and other system analyses.	[McKillop, Nathan; Wembridge, Chris; Ransome, Sarah; Franklin, Evan] Univ Tasmania, Sch Engn, Hobart, Tas 7001, Australia; [McKillop, Nathan; Wembridge, Chris; Lord, James] TasNetworks, Hobart, Tas 7009, Australia		McKillop, N (corresponding author), Univ Tasmania, Sch Engn, Hobart, Tas 7001, Australia.; McKillop, N (corresponding author), TasNetworks, Hobart, Tas 7009, Australia.	nathan.mckillop@utas.edu.au								0	0											SEP	2025	61	5					8051	8063		10.1109/TIA.2025.3561758	http://dx.doi.org/10.1109/TIA.2025.3561758												2025-12-09	
J	Aguilar, JA; Wang, S				Aguilar, Jose Acedo; Wang, Shian			Dynamic Modeling and Optimal Planning for Integrating Electric Vehicles and Renewable Energy Into Coupled Traffic-Power Systems	IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS				Article								The large-scale adoption of electric vehicles (EVs) is regarded as an effective strategy for reducing greenhouse gas emissions from the transportation sector. Although EVs do not produce tailpipe emissions, their widespread adoption may impose significant pressure on the decarbonization of the power system-a critical aspect often overlooked in planning and policy-making. Moreover, the actual environmental benefits of EVs depend on the source of electricity used for charging. Considering the power demand induced by EV charging, we develop a continuous-time dynamic model for the optimal planning of simultaneous EV adoption and the integration of renewable energy sources into the power system. The interactions between competing entities, such as EVs versus legacy vehicles, and renewable versus conventional energy sources, are incorporated into our mathematical model based on the Lotka-Volterra equations. We formulate an optimal control problem to determine planning policies for EV subsidies, infrastructure investment, and the rates of renewable integration and fossil fuel retirement. The goal is to achieve a desired EV market penetration rate (MPR) while enabling the smooth integration of renewables. The nonlinear optimal control problem is solved using the Pontryagin minimum principle. Comprehensive numerical results are presented to demonstrate the effectiveness of the proposed approach, including sensitivity analyses on MPR targets, planning horizons, and cost-benefit considerations. The results offer useful insights for policymakers in designing long-term strategies for EV adoption within a coupled traffic-power system.	[Aguilar, Jose Acedo; Wang, Shian] Univ Texas El Paso, Dept Elect & Comp Engn, El Paso, TX 79968 USA		Wang, S (corresponding author), Univ Texas El Paso, Dept Elect & Comp Engn, El Paso, TX 79968 USA.	wangshian321@gmail.com								0	0											NOV	2025	26	11					19214	19226		10.1109/TITS.2025.3590256	http://dx.doi.org/10.1109/TITS.2025.3590256		JUL 2025										2025-12-09	
J	Chae, M; Kim, T; Won, D				Chae, Myeongseok; Kim, Taesic; Won, Dongjun			Optimal Operation Scheme of Electric Vehicle Routing and Charging Considering Power Distribution and Transportation Integrated System	IEEE ACCESS				Article								The increase in EV (Electric Vehicle) charging demands significantly affects the power system; thus, developing an optimal operating system is necessary to improve the power system stability while considering the transportation network. However, in existing studies, charging scheduling is divided into a power system perspective focusing on grid stability and a transportation perspective focusing on the optimal operation of EVs. As EVs affect both systems, it is necessary to consider both grid operation and transportation-network operation simultaneously. In this study, an integrated operation algorithm for the transportation network and power grid has been developed, which determines the amount of demand response through the power-flow results at the upper level and resolves traffic congestion by setting the optimal route for EVs at the lower level. The Demand Response (DR) adjustment amount is determined based on MATSim vehicle data, rather than simply looking at the DR amount from the perspective of the power system. Furthermore, the concept of Autonomous Integrated EVs (AIEV) in the integrated system has been constructed, which improves the grid stability to cope with uncooperative EVs. The transportation system is configured using MATSim to run the integrated simulation, and the power system is configured using the IEEE-33 bus model. The integrated operating algorithm received high evaluation indicators for voltage stability, power loss, and average driving time. In addition, the effectiveness of the algorithm was demonstrated in various situations through the composition of multiple scenarios.	[Chae, Myeongseok; Won, Dongjun] Inha Univ, Dept Elect & Comp Engn, Incheon 22212, South Korea; [Kim, Taesic] Texas A&M Univ Kingsville, Dept Elect Engn & Comp Sci, Kingsville, TX 78363 USA		Won, D (corresponding author), Inha Univ, Dept Elect & Comp Engn, Incheon 22212, South Korea.	djwon@inha.ac.kr								3	4												2024	12						83427	83438		10.1109/ACCESS.2024.3407710	http://dx.doi.org/10.1109/ACCESS.2024.3407710												2025-12-09	
J	Yang, B; Zhou, YM; Yan, YF; Su, S; Li, JL; Yao, W; Li, HB; Gao, DK; Wang, JB				Yang, Bo; Zhou, Yimin; Yan, Yunfeng; Su, Shi; Li, Jiale; Yao, Wei; Li, Hongbiao; Gao, Dengke; Wang, Jingbo			A Critical and Comprehensive Handbook for Game Theory Applications on New Power Systems: Structure, Methodology, and Challenges	PROTECTION AND CONTROL OF MODERN POWER SYSTEMS				Article								To effectively promote renewable energy development and reduce carbon dioxide emissions, the new power system integrating renewable energy sources (RES), energy storage (ES) technology, and electric vehicles (EVs) is proposed. However, the generation variability and uncertainty of RES, the unpredictable charging schedule of EVs, and access to energy storage systems (ESS) pose significant challenges to the planning, operation, and scheduling of new power systems. Game theory, as a valuable tool for addressing complex subject and multi-objective problems, has been widely applied to tackle these challenges. This work undertakes a comprehensive review of the application of game theory in the planning, operation, and scheduling of new power systems. Through an analysis of 143 research works, the applications of game theory are categorized into three key areas: RES, ESS, and EV charging infrastructure. Moreover, the game theory approaches, payoff/objective functions, players, and strategies used in each study are thoroughly summarized. In addition, the potential for game theory based on artificial intelligence is explored. Lastly, this review discusses existing challenges and offers valuable insights and suggestions for the future research directions.	[Yang, Bo; Zhou, Yimin] Kunming Univ Sci & Technol, Fac Elect Power Engn, Kunming 650500, Peoples R China; [Yan, Yunfeng] Zhejiang Univ, Coll Elect Engn, Hangzhou 310027, Peoples R China; [Su, Shi] Yunnan Power Grid Co Ltd, Elect Power Res Inst, Kunming 650217, Peoples R China; [Li, Jiale] Kunming Univ Sci & Technol, Fac Sci, Kunming 650500, Peoples R China; [Yao, Wei] Huazhong Univ Sci & Technol, Sch Elect & Elect Engn, State Key Lab Adv Electromagnet Engn & Technol, Wuhan 430074, Peoples R China; [Li, Hongbiao; Gao, Dengke] Shanghai KeLiang Informat Technol Co Ltd, Shanghai 201103, Peoples R China; [Wang, Jingbo] Univ Liverpool, Dept Elect Engn & Elect, Liverpool L69 3GJ, England		Yan, YF (corresponding author), Zhejiang Univ, Coll Elect Engn, Hangzhou 310027, Peoples R China.	yangbo_ac@outlook.com; 2842984667@qq.com; Yunfengyan123@outlook.com; 1300374276@qq.com; lijiale_yc@outlook.com; w.yao@hust.edu.cn; hongbiao.li@keliangtek.com; dengke.gao@keliangtek.com; JingboWang96@outlook.com								1	2											SEP	2025	10	5					1	27		10.23919/PCMP.2024.000297	http://dx.doi.org/10.23919/PCMP.2024.000297												2025-12-09	
J	Zecchino, A; Prostejovsky, AM; Ziras, C; Marinelli, M				Zecchino, Antonio; Prostejovsky, Alexander M.; Ziras, Charalampos; Marinelli, Mattia			Large-scale provision of frequency control via V2G: The Bornholm power system case	ELECTRIC POWER SYSTEMS RESEARCH				Article								This paper assesses the impact of electric vehicles (EVs) providing primary frequency regulation via vehicle-to-grid (V2G) technology. The aim of the work is to define a set of recommendations in order to guarantee a stable large-scale deployment of EV fleets as primary reserve providers. A realistic fleet model is proposed, which emulates the aggregated response of a number of EVs characterized by V2G hardware response times derived in laboratory tests. The effects of primary frequency control via EV fleets replacing conventional generating units are assessed with a sensitivity study in a single-bus power system with growing fleet sizes and response times. Two recommendations are derived to guarantee safe and stable operation: Recommendation 1 requires the share of EVs providing primary reserve to be smaller than the reserve from conventional units; Recommendation 2 requires response times below a given limit value, calculated as a function of the following power system parameters: the system inertia, the total primary reserve over the rotating generation capacity, and the employed droop gain. The full 60 kV power system of the Danish island of Bornholm is then employed to evaluate the validity of the proposed requirements on a real system with complex dynamics, non-linearities and voltage dependencies.	[Zecchino, Antonio; Prostejovsky, Alexander M.; Ziras, Charalampos; Marinelli, Mattia] Tech Univ Denmark, Ctr Elect Power & Energy, DTU Riso Campus,Frederiksborgvej 399, DK-4000 Roskilde, Denmark		Prostejovsky, AM (corresponding author), Tech Univ Denmark, Ctr Elect Power & Energy, DTU Riso Campus,Frederiksborgvej 399, DK-4000 Roskilde, Denmark.	alepros@elektro.dtu.dk								50	56											MAY	2019	170						25	34		10.1016/j.epsr.2018.12.027	http://dx.doi.org/10.1016/j.epsr.2018.12.027												2025-12-09	
J	Guo, JR; Badesa, L; Teng, F; Chaudhuri, B; Hui, SYR; Strbac, G				Guo, Jinrui; Badesa, Luis; Teng, Fei; Chaudhuri, Balarko; Ron Hui, Shu Yuen; Strbac, Goran			Value of Point-of-Load Voltage Control for Enhanced Frequency Response in Future GB Power System	IEEE TRANSACTIONS ON SMART GRID				Article								The need for Enhanced Frequency Response (EFR) is expected to increase significantly in future low-carbon Great Britain (GB) power system. One way to provide EFR is to use power electronic compensators (PECs) for point-of-load voltage control (PVC) to exploit the voltage dependence of loads. This paper investigates the techno-economic feasibility of such technology in future GB power system by quantifying the total EFR obtainable through deploying PVC in the urban domestic sector, the investment cost of the installment and the economic and environmental benefits of using PVC. The quantification is based on a stochastic domestic demand model and generic medium and low-voltage distribution networks for the urban areas of GB and a stochastic unit commitment (SUC) model with constraints for secure post-fault frequency evolution is used for the value assessment. Two future energy scenarios in the backdrop of 2030 with `smart' and `non-smart' control of electric vehicles and heat pumps, under different levels of penetration of battery energy storage system (BESS) are considered to assess the value of PEC, as well as the associated payback period. It is demonstrated that PVC could effectively complement BESS towards EFR provision in future GB power system.	[Guo, Jinrui; Badesa, Luis; Teng, Fei; Chaudhuri, Balarko; Ron Hui, Shu Yuen; Strbac, Goran] Imperial Coll London, Dept Elect & Elect Engn, London SW7 2AZ, England; [Ron Hui, Shu Yuen] Univ Hong Kong, Dept Elect & Elect Engn, Hong Kong, Peoples R China		Guo, JR (corresponding author), Imperial Coll London, Dept Elect & Elect Engn, London SW7 2AZ, England.	j.guo16@imperial.ac.uk								2	5											NOV	2020	11	6					4938	4948		10.1109/TSG.2020.3000728	http://dx.doi.org/10.1109/TSG.2020.3000728												2025-12-09	
J	Vagropoulos, SI; Balaskas, GA; Bakirtzis, AG				Vagropoulos, Stylianos I.; Balaskas, Georgios A.; Bakirtzis, Anastasios G.			An Investigation of Plug-In Electric Vehicle Charging Impact on Power Systems Scheduling and Energy Costs	IEEE TRANSACTIONS ON POWER SYSTEMS				Article								This paper investigates the impact of plug-in electric vehicle (EV) integration on the power systems scheduling and energy cost. An intermediary entity, the EV aggregator, participates in the market on behalf of the EV owners by optimally self-scheduling under the price-taking approach. Through detailed rolling simulations for a year and different EVs' penetration scenarios at a large insular power system, this work highlights the different impact of direct and smart charging on power system scheduling and energy costs, the limitations of the price-taking approach, which is widely used in self-scheduling models, and the difference in system value and market value that smart charging adoption creates in restructured markets under the marginal pricing rule.	[Vagropoulos, Stylianos I.; Balaskas, Georgios A.; Bakirtzis, Anastasios G.] Aristotle Univ Thessaloniki, Dept Elect & Comp Engn, Thessaloniki 54124, Greece		Vagropoulos, SI (corresponding author), Aristotle Univ Thessaloniki, Dept Elect & Comp Engn, Thessaloniki 54124, Greece.	stelvag@auth.gr; mpalaskg@gmail.com; bakiana@eng.auth.gr								71	88											MAY	2017	32	3					1902	1912		10.1109/TPWRS.2016.2609933	http://dx.doi.org/10.1109/TPWRS.2016.2609933												2025-12-09	
J	Hashemian, SM; Khodabakhshian, A; Gholipour, M; Esmaili, MR; Malekpour, M				Hashemian, Seyed Mehran; Khodabakhshian, Amin; Gholipour, Mehdi; Esmaili, Mohammad Reza; Malekpour, Mostafa			Approach for prediction of cold loads considering electric vehicles during power system restoration	IET GENERATION TRANSMISSION & DISTRIBUTION				Article								During the power system restoration there is a high possibility that the load demand is greater than the normal system operation for thermostatic loads. This demand increment, called Cold Load Pick-up (CLPU) has been a critical concern to utilities and will slow down the restoration process. Thus, it is imperative to predict the CLPU demand to perform restoration process more precisely. The use of new loads such as electric vehicles (EVs) has made new problems. In this paper, first the negative impact of EVs after an outage, on CLPU demand is investigated and then it is shown that the behavior of EVs during restoration service is the same as CLPU phenomenon. In doing so, the proposed approach uses Monte Carlo simulation method to predict EVs recharging demand. Since there will be some other new loads in the future that may have CLPU performance, a new approach is proposed to predict the CLPU demand of any load, without the need to have its exact model. ANFIS method is used to estimate CLPU demand based on previous outage cases in the feeder. The proposed approach is implemented in MATLAB(R) and simulation results confirm its ability in load prediction for restoration service.	[Hashemian, Seyed Mehran; Khodabakhshian, Amin; Gholipour, Mehdi; Malekpour, Mostafa] Univ Isfahan, Dept Elect Engn, Esfahan, Iran; [Esmaili, Mohammad Reza] Esfahan Reg Elect Co EREC, Esfahan, Iran		Khodabakhshian, A (corresponding author), Univ Isfahan, Dept Elect Engn, Esfahan, Iran.	aminkh@eng.ui.ac.ir								6	7											NOV 13	2020	14	22			SI		5249	5260		10.1049/iet-gtd.2020.0046	http://dx.doi.org/10.1049/iet-gtd.2020.0046												2025-12-09	
J	Thapa, J; Olowolaju, J; Benidris, M; Livani, H				Thapa, Jitendra; Olowolaju, Joshua; Benidris, Mohammed; Livani, Hanif			Power System Reliability Assessment Under Electric Vehicle and Photovoltaic Uncertainty	IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS				Article								In recent years, the adoption of electric vehicles (EVs) and variable energy resources such as photovoltaic (PV) has increased with the desire to reduce reliance on fossil fuels, decrease emissions, and promote sustainable energy. However, the increasing adoption of EVs and PVs has introduced unprecedented challenges to the reliability of power systems. The challenge lies in the inherent intermittency associated with solar generation and the uncertainty introduced by the charging load of EVs on the demand side of power grids. Therefore, it is indispensable from the perspective of power system operation and planning to consider the uncertainties associated with the output power of these resources in the reliability assessment framework. This paper develops an electric vehicle load model considering diverse charging station locations, EV types, and drivers' behavior. Also, the proposed method integrates the uncertainty of PV generation through interval prediction utilizing the K-Nearest Neighbors regressor. A sequential Monte Carlo simulation is used to analyze the impact of PV interval (forecasted lower and upper generation profile), EV load (hourly and peak), line failures, and demographic characteristics associated with EV on power system reliability. The reliability assessment is extended to sensitivity analysis and evaluation of the impact of EV loads and PV generation profiles on the capacity value of PV generators with different capacities, utilizing the Discrete Convolution approach. The proposed approach is demonstrated on the IEEE Reliability Test System and the results show the effectiveness of the proposed approach in determining the reliability of the power system by explicitly accommodating PV uncertainties and the intricacies of EVs.	[Thapa, Jitendra; Benidris, Mohammed] Michigan State Univ, Dept Elect & Comp Engn, E Lansing, MI 48824 USA; [Olowolaju, Joshua; Livani, Hanif] Univ Nevada, Dept Elect & Biomed Engn, Reno, NV 89557 USA		Thapa, J (corresponding author), Michigan State Univ, Dept Elect & Comp Engn, E Lansing, MI 48824 USA.	thapajit@msu.edu; jolowolaju@nevada.unr.edu; benidris@msu.edu; hlivani@unr.edu								1	1											MAR-APR	2025	61	2					2248	2257		10.1109/TIA.2025.3532567	http://dx.doi.org/10.1109/TIA.2025.3532567												2025-12-09	
J	Kim, G; Hur, J				Kim, Gyeongmin; Hur, Jin			Methodology for Security Analysis of Grid- Connected Electric Vehicle Charging Station With Wind Generating Resources	IEEE ACCESS				Article								The project Carbon-Free Island Jeju by 2030 promoted by the Republic of Korea aims to expand the renewable energy sources centered on wind power in Jeju Island and supply electric vehicles for eco-friendly mobility. However, the increased penetration rate of electric vehicles and expansion of variable renewable energy sources can accelerate the power demand and uncertainty in the power generation output. In this paper, power system analysis is performed through electric vehicle charging demand and wind power outputs prediction, and an electric vehicle charging decentralization algorithm is proposed to mitigate system congestion. In order to predict electric vehicle charging demand, the measurement data were analyzed, and random sampling was performed by applying the weight of charging frequency for each season and time. In addition, wind power outputs prediction was performed using the ARIMAX model. Input variables are wind power measurement data and additional explanatory variables (wind speed). Wind power outputs prediction error (absolute average error) is about 9.6%, which means that the prediction accuracy of the proposed algorithm is high. A practical power system analysis was performed for the scenario in which electric vehicle charging is expected to be higher than the wind power generation due to the concentration of electric vehicle charging. The proposed algorithm can be used to analyze power system problems that may occur due to the concentration of electric vehicle charging demand in the future, and to prepare a method for decentralizing electric vehicle charging demand to establish a stable power system operation plan.	[Kim, Gyeongmin; Hur, Jin] Ewha Womans Univ, Dept Climate & Energy Syst Engn, Seoul 03760, South Korea		Hur, J (corresponding author), Ewha Womans Univ, Dept Climate & Energy Syst Engn, Seoul 03760, South Korea.	jhur@ewha.ac.kr								10	10												2021	9						63905	63914		10.1109/ACCESS.2021.3075072	http://dx.doi.org/10.1109/ACCESS.2021.3075072												2025-12-09	
J	Reddy, SS				Reddy, S. Surender			Emergency reserve activation considering demand-side resources and battery storage in a hybrid power system	ELECTRICAL ENGINEERING				Article								Optimal sequential and dynamic emergency reserve scheduling and activation plans considering the spinning reserves, demand-side resources and battery storage in a hybrid power system are proposed in this paper. The hybrid power system consists of conventional thermal generating units, wind energy generators, solar photovoltaic plants and electric vehicles. An optimal emergency plan has been developed using the coordinated action of slow and fast reserves for the secure power system operation with optimum overall cost. In this paper, we have considered reserves from thermal generators (i.e., spinning reserves), demand-side resources and also the reserves from battery storage. Here, an optimal dynamic and sequential reserve activation plans are developed by using the optimal coordination of fast reserves (i.e., demand-side resources and battery storage) and slow reserves (i.e., spinning reserves). The optimization problem is solved using the MATLAB optimization toolbox (Fmincon function). The effectiveness and suitability of the proposed approach is tested on IEEE 30, 118 and 300 bus test systems. The simulation results show the advantage of dynamic emergency reserve activation approach over the sequential reserve activation approach.	[Reddy, S. Surender] Woosong Univ, Dept Railrd & Elect Engn, Daejeon, South Korea		Reddy, SS (corresponding author), Woosong Univ, Dept Railrd & Elect Engn, Daejeon, South Korea.	salkuti.surenderreddy@gmail.com								12	12											SEP	2018	100	3					1589	1599		10.1007/s00202-017-0637-9	http://dx.doi.org/10.1007/s00202-017-0637-9												2025-12-09	
J	Ciechanowicz, D; Pelzer, D; Bartenschlager, B; Knoll, A				Ciechanowicz, David; Pelzer, Dominik; Bartenschlager, Benedikt; Knoll, Alois			A Modular Power System Planning and Power Flow Simulation Framework for Generating and Evaluating Power Network Models	IEEE TRANSACTIONS ON POWER SYSTEMS				Article								This work presents a modular power system planning and power flow simulation framework for the generation and evaluation of power network models (PNM) using spatially resolved demand data. It targets users who want to study large-scale power grids having only limited information on the actual power system. Besides creating cost minimal PNMs, users are able to flexibly configure the framework to produce PNMs individually tailored to their specific use cases. Both greenfield and expansion planning are possible. The framework further comprises a built-in ac power flow simulation designed to simulate power flows in large-scale networks. This allows users to conduct a great variety of simulation studies on entire power systems, which would otherwise not be possible without access to comprehensive power grid data. Apart from the presentation of the methodology, this work comprises a demonstration of the power system planning process at the example of Singapore. The investigation shows that the framework is capable of generating a network that matches the topological and electrical metrics of the Singapore power grid.	[Ciechanowicz, David; Pelzer, Dominik] TUM CREATE, Modeling & Optimizat Architectures & Infrastruct, Singapore 138602, Singapore; [Bartenschlager, Benedikt] Ingenieurburo Elektro Planung, D-81245 Munich, Germany; [Knoll, Alois] Tech Univ Munich, Dept Informat, D-80333 Munich, Germany		Ciechanowicz, D (corresponding author), TUM CREATE, Modeling & Optimizat Architectures & Infrastruct, Singapore 138602, Singapore.	david.ciechanowicz@tum-create.edu.sg; dominik.pelzer@tum-create.edu.sg; benedikt.bartenschlager@gmail.com; knoll@in.tum.de								9	9											MAY	2017	32	3					2214	2224		10.1109/TPWRS.2016.2602479	http://dx.doi.org/10.1109/TPWRS.2016.2602479												2025-12-09	
