term,year,count
planning,2025,102
uc_ed,2025,146
grid,2025,134
ev,2025,162
robust,2025,33
meta-heuristics,2025,159
ml,2025,80
planning,2026,7
uc_ed,2026,8
grid,2026,8
ev,2026,9
robust,2026,2
meta-heuristics,2026,9
ml,2026,5
stochastic,2025,47
planning,2024,70
uc_ed,2024,110
ev,2024,125
meta-heuristics,2024,122
grid,2024,106
ml,2024,51
stochastic,2024,29
robust,2024,10
planning,2023,59
uc_ed,2023,89
grid,2023,76
ev,2023,99
meta-heuristics,2023,96
ml,2023,36
stochastic,2023,22
robust,2023,4
planning,2022,46
uc_ed,2022,55
grid,2022,47
ev,2022,67
meta-heuristics,2022,66
ml,2022,20
stochastic,2022,17
planning,2021,29
ev,2021,42
meta-heuristics,2021,42
uc_ed,2021,36
grid,2021,32
stochastic,2021,9
ml,2021,16
planning,2020,27
grid,2020,26
ev,2020,39
meta-heuristics,2020,39
uc_ed,2020,31
stochastic,2020,12
robust,2020,3
ml,2020,10
planning,2015,9
uc_ed,2015,13
grid,2015,11
ev,2015,15
meta-heuristics,2015,14
robust,2022,3
planning,2019,11
uc_ed,2019,20
ev,2019,24
meta-heuristics,2019,23
grid,2019,21
stochastic,2019,7
robust,2019,2
ml,2019,11
robust,2021,1
planning,2018,11
grid,2018,11
ev,2018,18
stochastic,2018,9
meta-heuristics,2018,17
ml,2018,6
uc_ed,2018,10
planning,2017,10
uc_ed,2017,10
grid,2017,11
ev,2017,16
meta-heuristics,2017,15
ml,2017,5
planning,2016,6
uc_ed,2016,6
grid,2016,6
ev,2016,8
meta-heuristics,2016,8
stochastic,2016,2
ml,2016,3
stochastic,2015,3
robust,2015,2
ml,2015,5
robust,2018,1
stochastic,2017,3
