Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Texts,Document Type,Publication Stage,Open Access,Source,EID,source_db,original_file,dedup_key,priority_score,priority_bucket,cluster,x,y
"Atef, A.; Moanes, M.; El-Sehiemy, R.A.; Keshta, H.","Atef, Ahmed (60193543500); Moanes, Mohamed (58230313600); El-Sehiemy, Ragab A. (6504618921); Keshta, Hossam E. (57191892708)",60193543500; 58230313600; 6504618921; 57191892708,Multi-objective transit search optimizer for dynamic reconfiguration of standard and realistic radial distribution networks with hosted renewables and EV charging stations,2025,Results in Engineering,28,,108079,,,0,10.1016/j.rineng.2025.108079,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021854140&doi=10.1016%2Fj.rineng.2025.108079&partnerID=40&md5=f12a2caff59f2c54b2bfa24022a888f2,"Ministry of Electricity and Renewable energy, North Cairo Electricity Distribution Company, Abasia, Egypt; Faculty of Engineering at Benha, Benha, Qalyubia, Egypt; Kafrelsheikh University, Kafr el-Sheikh, Kafr el-Sheikh, Egypt; Sustainability Competence Centre, Széchenyi István University, Gyor, Gyor-Moson-Sopron, Hungary; Department of Electronics Engineering, Higher Institute for Engineering and Technology, Manzala, Egypt","Atef, Ahmed, Ministry of Electricity and Renewable energy, North Cairo Electricity Distribution Company, Abasia, Egypt, Faculty of Engineering at Benha, Benha, Qalyubia, Egypt; Moanes, Mohamed, Faculty of Engineering at Benha, Benha, Qalyubia, Egypt; El-Sehiemy, Ragab A., Kafrelsheikh University, Kafr el-Sheikh, Kafr el-Sheikh, Egypt, Sustainability Competence Centre, Széchenyi István University, Gyor, Gyor-Moson-Sopron, Hungary, Department of Electronics Engineering, Higher Institute for Engineering and Technology, Manzala, Egypt; Keshta, Hossam E., Faculty of Engineering at Benha, Benha, Qalyubia, Egypt","The expansion of electric vehicle (EV) adoption, seasonal changes in power demand, and the adoption of renewable energy sources (RES) have posed new, intricate operational problems within distribution networks. These include additional power losses, excess yield gaps, drops in voltage levels, and reduced operational flexibility. This work propose a complete optimization model that consists of several steps to enhance the performance and resilience of radial distribution systems (RDS) with respect to daily and seasonal variations using the Transit Search Optimization (TSO) algorithm. Such strategies include optimal allocation of RES, placement of electric vehicle charging stations (EVCS), dynamic network reconfiguration, and improved unit commitment strategies to enhance power quality, mitigate losses, and maintain stable voltage levels. A multi-objective function opts to achieve optimal RES hosting capacity together with optimal tie-switch settings across scenario-based summer, winter, spring, and fall shifts. Simulations were done on both a modified IEEE 33-bus system and a practical 51-bus distribution network. A multi-function framework on TSO is employed for optimal dynamic reconfiguration strategy to improve the performance of the distribution network considering the dynamic behavior of power profiles of wind speed and solar irradiation over a 24-hour period with varying seasons. The aim of the proposed methodology is to optimize the system performance throughout the day under hourly changes in loads and weather conditions. Technical and economic benefits for selection of RES and reconfiguration strategy applied to boost system effectiveness and accommodate more customers. The results of this study show that joint placement of RES integrated with seasonal reconfiguration done markedly enhances efficiency, improves voltage and the voltage stability index, increases operational flexibility, and guarantees reliable supply during peak EV charging and periods of low renewable generation. The optimization also demonstrates robustness against generation and demand uncertainties. © 2025 The Authors.",Distribution Network Reconfiguration (DNR); Hosting capacity (HC); Muti-dimension Operation (MDO); Renewable Energy Sources (RES); Transit Search Optimization (TSO),Charging (batteries); Dynamic models; Electric losses; Electric vehicles; Natural resources; Optimization; Power quality; Renewable energy; Voltage control; Wind; Distribution network reconfiguration; Electric vehicle charging; Hosting capacity; Muti-dimension operation; Renewable energy source; Search optimization; Transit search optimization; Charging stations,,,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105021854140,scopus,scopus.csv,doi:10.1016/j.rineng.2025.108079,19,high,6,10.5772295,5.4695396
"Ahmed, F.; Ahmad, S.; Rahman, M.T.; Rifat Hazari, M.R.; Faiz, R.; Ahmed, T.; Karimi, M.","Ahmed, Fahim (59873392000); Ahmad, Shameem (57192665072); Rahman, Mir Toufikur (57205530600); Rifat Hazari, Md Rifat (57218825855); Faiz, Rethwan (54784256100); Ahmed, Tofael (57193693317); Karimi, Mazaher (49561491700)",59873392000; 57192665072; 57205530600; 57218825855; 54784256100; 57193693317; 49561491700,"A holistic review of electric vehicle charging impacts on power distribution networks: Technical challenges, smart mitigation strategies and future directions",2026,Applied Energy,402,,126961,,,0,10.1016/j.apenergy.2025.126961,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020661617&doi=10.1016%2Fj.apenergy.2025.126961&partnerID=40&md5=568bc375c4ea63d3198621d2f6df40b1,"Department of Electrical and Electronic Engineering, American International University - Bangladesh, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, BRAC University, Dhaka, Bangladesh; School of Engineering, RMIT University, Melbourne, VIC, Australia; Middleton Group Engineering Pty Ltd, Melbourne, VIC, Australia; Department of Electrical and Electronic Engineering, Chittagong University of Engineering and Technology, Chittagong, Bangladesh; School of Technology and Innovations, Vaasan Yliopisto, Vaasa, Ostrobothnia, Finland","Ahmed, Fahim, Department of Electrical and Electronic Engineering, American International University - Bangladesh, Dhaka, Bangladesh; Ahmad, Shameem, Department of Electrical and Electronic Engineering, BRAC University, Dhaka, Bangladesh; Rahman, Mir Toufikur, School of Engineering, RMIT University, Melbourne, VIC, Australia, Middleton Group Engineering Pty Ltd, Melbourne, VIC, Australia; Rifat Hazari, Md Rifat, Department of Electrical and Electronic Engineering, American International University - Bangladesh, Dhaka, Bangladesh; Faiz, Rethwan, Department of Electrical and Electronic Engineering, American International University - Bangladesh, Dhaka, Bangladesh; Ahmed, Tofael, Department of Electrical and Electronic Engineering, Chittagong University of Engineering and Technology, Chittagong, Bangladesh; Karimi, Mazaher, School of Technology and Innovations, Vaasan Yliopisto, Vaasa, Ostrobothnia, Finland","Electric Vehicles (EVs) have emerged as a pivotal solution in the global transition toward sustainable transportation, offering significant reductions in greenhouse gas emissions and dependence on fossil fuels. The growing adoption of EVs is anticipated to significantly influence electrical power distribution networks. As EV adoption accelerates worldwide, their integration into existing electrical distribution networks poses considerable challenges, particularly concerning load demand, voltage stability. Recent research has increasingly focused on understanding and mitigating these impacts, through a wide array of analytical, simulation-based, and data-driven methods both with and without the implementation of network management strategies. However, a comprehensive, integrated synthesis of these studies linking technical findings with mitigation strategies and practical implications is still limited. Additionally, there is a lack of a thorough review consolidating the existing research on this subject, which is essential for understanding the scope of prior studies. Motivated by this gap, this review paper provides a critical and consolidated examination of the current literature on the impacts of EV on distribution networks. The paper's objective is to assess the comprehensive effects of EV integration and evaluate mitigation strategies across three core domains: network management, EV and Distributed generation (DG) coordination, and regulated charging solutions. The paper also introduces the role of artificial intelligence in enabling predictive, adaptive, and scalable solutions. It highlights key methodologies, data sources, modeling approaches, and the efficacy of various solutions while identifying prevailing research gaps and future directions, including real-time co-simulation, techno-economic assessments, and hybrid planning frameworks. Key outcomes of this study include a unified framework for understanding EV interactions with the grid and distribution network, a comparative analysis of mitigation approaches, and a set of recommendations for advancing research and deployment strategies. These findings aim to inform stakeholders about the latest advancements and support decision-making. The findings are particularly beneficial for utility providers, network planners, policymakers, charging infrastructure developers, and researchers seeking to develop robust, data-informed strategies for managing EV impacts and guide them in addressing unresolved challenges. © 2025 The Authors",AI for EV charging; Electric vehicles; EV charging; Hosting capacity; Load demand; Network management; Thermal capacity; Voltage stability,Charging (batteries); Decision making; Electric load distribution; Electric network parameters; Electric power distribution; Electric power transmission networks; Electric vehicles; Greenhouse gases; Information management; Power distribution networks; AI for electric vehicle charging; Electric vehicle charging; Hosting capacity; Load demand; Mitigation strategy; Networks management; Power distribution network; Technical challenges; Thermal; Network management; artificial intelligence; electric vehicle; electrical power; fossil fuel; greenhouse gas; mitigation,"Nordic Energy Research, NER","The research presented in the paper was develop within the project \u201CBest4Grid \u2013 Vehicle battery storage for green transport and grid stability in theNordics\u201D, which is part of the Nordic Grand Solutions Programme funded by Nordic Energy Research.",Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105020661617,scopus,scopus.csv,doi:10.1016/j.apenergy.2025.126961,16,high,1,7.115561,7.20985
"Chakraborty, R.; Das, P.; Das, D.; Gope, S.; Das, P.","Chakraborty, Raj (57958827900); Das, Priyanath N. (55451766800); Das, Diptanu (57190391489); Gope, Sadhan (54917509800); Das, Punam (58190112800)",57958827900; 55451766800; 57190391489; 54917509800; 58190112800,A novel electric vehicle allocation index approach for EV charging station placement in radial distribution network,2026,Computers and Electrical Engineering,129,,110774,,,0,10.1016/j.compeleceng.2025.110774,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020973171&doi=10.1016%2Fj.compeleceng.2025.110774&partnerID=40&md5=81cb8b70b01306055272b524fb454160,"Department of Electrical Engineering, National Institute of Technology, Agartala, Agartala, TR, India","Chakraborty, Raj, Department of Electrical Engineering, National Institute of Technology, Agartala, Agartala, TR, India; Das, Priyanath N., Department of Electrical Engineering, National Institute of Technology, Agartala, Agartala, TR, India; Das, Diptanu, Department of Electrical Engineering, National Institute of Technology, Agartala, Agartala, TR, India; Gope, Sadhan, Department of Electrical Engineering, National Institute of Technology, Agartala, Agartala, TR, India; Das, Punam, Department of Electrical Engineering, National Institute of Technology, Agartala, Agartala, TR, India","Electric Vehicles (EVs) are vital for sustainable development, aiming to reduce carbon emissions and conserve fossil fuels. Their adoption relies on a robust charging infrastructure. Strategic placement of EV Charging Stations (EVCS) is crucial to meet charging demands while minimizing impacts on the Radial Distribution Network (RDN). This work analyzes the IEEE 33 bus test system, dividing it into two zones for effective EVCS deployment. The EVCS placement is based on Bus Reliability Index (BRI) modelling to identify strong and weak buses. The impact of EVCS on parameters like Active Power Loss (APL), Reactive Power Loss (RPL), Reliability Indices (RI), and Voltage Deviation Index (VDI) is analyzed using the Backward Forward Sweep Power Flow (BFSPF) technique. The analysis indicates that placing EVCS on strong buses improves RI but increases losses and worsens voltage profiles at certain nodes. Conversely, placing EVCS on weak buses reduces losses but lowers RI and causes voltage profiles to drop below 0.9 p.u. at some nodes. To address these challenges, this paper proposes a novel Electric Vehicle Allocation Index (EVAI) strategy. The EVAI approach optimally allocates EVCS alongside Type-1 Distributed Generation (DG) by simultaneously minimizing indices of APL, RPL, VDI, and RI. The Symbiotic Organisms Search (SOS) algorithm is applied to solve the optimization problem. The outcomes are validated using the Grey Wolf Optimizer (GWO) and Whale Optimization Algorithm (WOA). The Friedman test assesses the robustness of the proposed solution. The proposed solution indicates that minimizing EVAI ensures a more practical and efficient EVCS placement strategy. © 2025 Elsevier Ltd.",Bus reliability index; Distributed generation; Electric vehicle allocation index; Electric vehicle charging stations; Optimization; Radial distribution network,Buses; Charging (batteries); Charging stations; Distributed power generation; Electric network parameters; Electric vehicles; Fossil fuels; Reactive power; Reliability; Bus reliability index; Charging station; Electric vehicle allocation index; Electric vehicle charging; Electric vehicle charging station; EV Charging; Optimisations; Radial distribution networks; Reliability Index; Vehicle allocation; Optimization,,,Article,Final,,Scopus,2-s2.0-105020973171,scopus,scopus.csv,doi:10.1016/j.compeleceng.2025.110774,16,high,2,10.049077,5.900336
Antonio {E․ Saldaña-González} and Andreas Sumper and Verónica Anadón-Martínez and Mònica Aragüés-Peñalba,,,A machine learning approach for EVCS integration in distribution network based on optimal investment actions,2026,Electric Power Systems Research,,,,,,,https://doi.org/10.1016/j.epsr.2025.112376,https://www.sciencedirect.com/science/article/pii/S0378779625009630,,,"Achieving the European climate targets for 2050 requires the large-scale integration of electric vehicles and public Electric Vehicle Charging Stations (EVCS). This energy transition requires the reinforcement planning of the electrical infrastructure to ensure the quality of supply for the next years. Distribution operators need efficient planning tools able to evaluate reinforcement actions for each new connection of EVCS in MV distribution networks. This paper presents a Machine Learning (ML) approach for optimal EVCS allocation based on the Mixed Integer Second Order Cone Programming (MISOCP) formulation. First, a formulation for distribution network operational planning based on an MISOCP model is presented. This formulation aims to minimize total investments while considering operational constraints, the branch flow model, passive and active decision variables. Secondly, a large set of expansion scenarios are solved based on a sensitivity analysis and then used as training data for supervised learning models, allowing them to learn the mapping between scenario inputs and optimal investment outcomes. The strength of the trained model is the fast and accurate predictions of optimal reinforcement actions and investments from unseen new EVCS expansion scenarios, opening new opportunities for efficient large-scale EVCS assessments. Results on a 124-bus MV Network show that decision tree-based models can predict reinforcement actions and investments with a deviation of less than 1%.","Electric vehicle charging station, Distribution network planning, Mixed-integer second order cone programming, Prediction of investment actions",,,,,,,sciencedirect,,sciencedirect,q11.bib,doi:10.1016/j.epsr.2025.112376,16,high,9,8.808887,2.3366454
Waqas ur Rehman and Siyuan Wang and Liheng Lv and Jonathan W. Kimball and Rui Bo,,,Multi-period coordinated planning of XFCS in coupled TN-PDN networks: Integrating demand charge reduction and pre-existing infrastructure,2026,eTransportation,,,,,,,https://doi.org/10.1016/j.etran.2025.100521,https://www.sciencedirect.com/science/article/pii/S2590116825001286,,,"The widespread adoption of electric vehicles (EVs) and transportation electrification is encumbered by two chief barriers: i) the limited driving range of EVs in the market today and ii) inadequate charging infrastructure support. This paper aims to address the latter bottleneck and proposes a strategic multi-period coordinated planning model to optimally site and size battery energy storage system (BESS) assisted extreme fast charging stations in a highway transportation network and solar systems in a power distribution network. The proposed approach accounts for pre-existing charging stations, the increasing EV penetration levels, decreasing technology costs, and technological advancements in the future and postponing some of the investments. Through the modeling of the spatiotemporal EV charging demand, the transportation and power distribution network coupling, demand charge cost and the integration into mixed integer linear programming framework, this approach optimizes site selection and port sizing across three planning periods. The proposed multi-period planning approach can significantly outperform the conventional forward-myopic method that sequentially solves three separate single-period planning problems. Comprehensive case studies show the proposed planning approach can yield 19 % annual savings in comparison to the benchmark and offer insights to planners regarding the tradeoff between reliability and economics, importance of demand charges reduction, and influence of pre-existing charging stations.","Battery energy storage, Coordinated planning, Extreme fast charging, Multi-period planning, Power networks, Solar PV, Transportation networks, Utility demand charges",,,,,,,sciencedirect,,sciencedirect,q11.bib,doi:10.1016/j.etran.2025.100521,16,high,5,7.422727,4.2572236
Tilak Giri and Biplov Paneru and Nawraj Bhattarai and Jeetendra Chaudhary and Bishwash Paneru and Ramhari Poudyal,,,Enhancing EV charging in Nepal: Strategic sizing and placement of solar – Powered battery system in Byasi Feeder,2026,Renewable Energy,,,,,,,https://doi.org/10.1016/j.renene.2025.124145,https://www.sciencedirect.com/science/article/pii/S0960148125018099,,,"The rapid adoption of electric vehicles (EVs) globally demands expanded charging infrastructure; however, their unplanned integration into radial distribution systems (RDS) often causes voltage instability, high power losses, and system inefficiencies. This study optimizes the placement and sizing of solar photovoltaic-battery system (PV-BESS) in Nepal's 30-bus Byasi feeder to mitigate these issues. Employing particle swarm optimization (PSO) and MATLAB/Simulink, the proposed approach reduces active power loss by 56.18 % (477 kW–209 kW) and improves minimum bus voltage by 2.57 % (0.9404–0.9646 p.u.) through integration of 2576 kW PV and 1311 kW BESS. The application of novel energy management strategy further curtails peak demand by 38.3 % (3700 kW–2283 kW). The solution achieves financial viability with approximately 9-year payback period. This research pioneers a comprehensive technical-operational-economic assessment for EV charging-oriented PV-BESS planning in Nepal's RDS, demonstrating how weighted multi-objective optimization balances power loss reduction and voltage improvement while ensuring economic feasibility. The findings provide a replicable framework for sustainable EV infrastructure development in similar distribution networks, highlighting the critical importance of strategic renewable energy integration for grid stability. The study's methodology and results offer valuable insights for utilities and policymakers addressing EV charging infrastructures challenges in developing power systems.","Battery-coupled solar PV, Electric vehicle charging station, Power loss, PSO, Voltage deviation, Weighting factors",,,,,,,sciencedirect,,sciencedirect,q11.bib,doi:10.1016/j.renene.2025.124145,16,high,2,10.487895,4.24871
"Unterluggauer, T.; Hipolito, F.; Andersen, P.B.; Rich, J.; Marinelli, M.","Unterluggauer, Tim (57226090963); Hipolito, F. (57658678000); Andersen, Peter Bach (57211263105); Rich, Jeppe Husted (57210454726); Marinelli, Mattia (55936425500)",57226090963; 57658678000; 57211263105; 57210454726; 55936425500,"Conditional connection agreements for electric vehicle charging: Review, design, and implementation of solutions for the low-voltage power distribution grid",2026,Renewable and Sustainable Energy Reviews,227,,116427,,,0,10.1016/j.rser.2025.116427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023127557&doi=10.1016%2Fj.rser.2025.116427&partnerID=40&md5=e8cc63627f93939dfd40461ff0970d64,"Department of Wind and Energy Systems, Technical University of Denmark, Lyngby, Hovedstaden, Denmark; Department of Management Engineering, Technical University of Denmark, Lyngby, Hovedstaden, Denmark","Unterluggauer, Tim, Department of Wind and Energy Systems, Technical University of Denmark, Lyngby, Hovedstaden, Denmark; Hipolito, F., Department of Management Engineering, Technical University of Denmark, Lyngby, Hovedstaden, Denmark; Andersen, Peter Bach, Department of Wind and Energy Systems, Technical University of Denmark, Lyngby, Hovedstaden, Denmark; Rich, Jeppe Husted, Department of Management Engineering, Technical University of Denmark, Lyngby, Hovedstaden, Denmark; Marinelli, Mattia, Department of Wind and Energy Systems, Technical University of Denmark, Lyngby, Hovedstaden, Denmark","The ongoing electrification of society is placing increasing pressure on power distribution networks. As demand for new grid connections surges, distribution system operators face increasing challenges in providing network access, often necessitating costly and time-consuming grid reinforcements. These constraints highlight the need for short-term, cost-effective solutions that optimize the use of existing grid capacity while supporting continued electrification. Conditional connection agreements (CCAs) offer a promising mechanism to address this need; however, their deployment has so far been limited, primarily targeting medium- and high-voltage customers. This paper investigates the application of CCAs in the low-voltage grid, with a particular focus on electric vehicle (EV) charging. We first introduce a novel classification of CCA solutions based on the power allocation approach and conduct an in-depth review of the existing, albeit still nascent, EV-related literature. Subsequently, we propose four distinct solutions tailored for the low-voltage grid, developed through a real-world case study conducted in close collaboration with the Danish distribution system operator in the Municipality of Frederiksberg, Denmark. We explore the implementation of each solution, which was demonstrated at two public urban residential charging sites, and present the initial findings. Finally, we outline key implementation challenges and suggest directions for future research. © 2025 The Author(s)",Charging infrastructure; Distribution system operator; Grid hosting capacity; Non-firm grid connection; Pilot demonstration; Power distribution network; Smart charging,Charging (batteries); Electric power distribution; Electric power transmission networks; Electric utilities; Electric vehicles; Electrification; Power distribution networks; Vehicle-to-grid; Charging infrastructures; Distribution system operator; Distribution systems; Grid connections; Grid hosting capacity; Hosting capacity; Non-firm grid connection; Pilot demonstrations; Power distribution network; Smart charging; System operator; Cost effectiveness,"SINTEF Industri, SINTEF; HORIZON EUROPE Framework Programme, (101056730); HORIZON EUROPE Framework Programme","The work presented in this article has been supported by the research project FUSE (EUDP grant nr. 64020-1092; http://www.fuse-project.dk) and by the research project FLOW (Horizon Europe grant no. 101056730; https://www.theflowproject.eu/). We are grateful to the DSO Radius and CPO Spirii for providing the essential data used in this study. Special thanks go to Jimmy Schipper Bjaaland for his invaluable contributions, particularly his insights from the DSO perspective throughout the FUSE project, as well as Mattia Secchi throughout the FLOW project. We also extend our appreciation to Merkur Andelskasse for granting access to their charging sites for our demonstrations. Finally, we thank Iver Bakken Sperstad, Bendik Nybakk Tors\u00E6ter, Jonatan Ralf Axel Klemets, and Michele Garau from SINTEF Energy Research for their valuable input, as well as their insights from the Norwegian perspective and the lessons learned from the FuChar and FORSEL projects.",Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105023127557,scopus,scopus.csv,doi:10.1016/j.rser.2025.116427,16,high,1,6.4092493,5.9405966
"Nareshkumar, K.; Das, D.","Nareshkumar, Kutikuppala (58489372800); Das, Debapriya (57171398900)",58489372800; 57171398900,Economic planning of EV charging stations and renewable DGs in a coupled transportation-reconfigurable distribution network considering EV range anxiety,2025,Electrical Engineering,107,5,,5787,5806,2,10.1007/s00202-024-02823-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208950726&doi=10.1007%2Fs00202-024-02823-9&partnerID=40&md5=def71a9d1451855cc2e49bb8a18cfbff,"Indian Institute of Technology Kharagpur, Kharagpur, WB, India","Nareshkumar, Kutikuppala, Indian Institute of Technology Kharagpur, Kharagpur, WB, India; Das, Debapriya, Indian Institute of Technology Kharagpur, Kharagpur, WB, India","To support the rapid rise of electric vehicles (EVs) in the transportation network (TN), one significant obstacle has to be addressed: range anxiety, i.e. concern about running out of energy before finding another charging station. This study proposes a two-stage strategy for optimal placement and sizing of electric vehicle charging stations (EVCS) and renewable distributed generators (DGs) in a coupled TN and distribution network (DN) by considering EV range anxiety. In the first stage, an integer particle swarm optimization algorithm and M1/M2/S queueing theory are used to find the best locations and sizes of EVCS while ensuring possible origin–destination round trips in a TN can be completed with a waiting time constraint. The objective function considered in this stage is maximizing EVCS operator profit. In the second stage, DN integrated with EVCS is used to obtain the ideal sites and sizes of renewable DGs. Modified Newton–Raphson load flow with a Q-PQV bus pair determines the ideal sites and sizes of renewable DGs while improving DN performance. A cost–benefit analysis is carried out to check whether DG planning is profitable. Hong’s 2 M+1 point estimate method incorporates the uncertainties related to EV behaviour and renewable sources. The validity of the proposed strategy is investigated using a coupled 33-bus DN with a 25-node TN system. The results reveal that considering EV range anxiety, the suggested approach effectively identifies the best locations and sizes for EVCS and renewable DGs beneficial for both EVCS and DN operators. Additionally, network reconfiguration increases the DN operator’s profit. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2024.",Electric vehicle charging stations; Hong’s 2 M+1 point estimate method; Network reconfiguration; Range anxiety; Renewable distributed generation,Cost benefit analysis; Integer programming; Charging station; Distributed generators; Electric vehicle charging; Electric vehicle charging station; Hong’s 2 M+1 point estimate method; Networks reconfiguration; Point-estimate methods; Range anxieties; Renewable distributed generations; Renewables; Queueing theory,,,Article,Final,,Scopus,2-s2.0-85208950726,scopus,scopus.csv,doi:10.1007/s00202-024-02823-9,16,high,2,10.18792,3.5651197
"Mohan, B.; Sudhakaran, M.; Srikiruthika, S.","Mohan, B. (59925411300); Sudhakaran, M. (6602972674); Srikiruthika, S. (59924929200)",59925411300; 6602972674; 59924929200,Hybrid Moth Flame Optimization Based Multi-objective Optimal Allocation of Electric Vehicle Charging Stations and Distributed Generation in Radial and Non-radial DS,2025,Iranian Journal of Science and Technology - Transactions of Electrical Engineering,49,3,,1351,1377,1,10.1007/s40998-025-00806-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007076592&doi=10.1007%2Fs40998-025-00806-5&partnerID=40&md5=d056dddf43b2b5d23934d95062e2029b,"Department of Electrical and Electronic Engineering, Puducherry Technological University, Puducherry, PY, India; Department of Electrical and Electronic Engineering, Puducherry Technological University, Puducherry, PY, India; Department of Computer Science and Engineering, Shiv Nadar University Chennai, Chennai, TN, India","Mohan, B., Department of Electrical and Electronic Engineering, Puducherry Technological University, Puducherry, PY, India, Department of Computer Science and Engineering, Shiv Nadar University Chennai, Chennai, TN, India; Sudhakaran, M., Department of Electrical and Electronic Engineering, Puducherry Technological University, Puducherry, PY, India; Srikiruthika, S., Department of Electrical and Electronic Engineering, Puducherry Technological University, Puducherry, PY, India","Electric vehicles (EVs) are widely used in the transportation sector, which majorly attracts due to their characteristics of greenhouse gas emissions and environmental friendliness. However, for the effective deployment of EVs, Electric Vehicle Charging Stations (EVCS) must be built quickly and with careful planning. Moreover, mismatch of generation demand, active power losses, compromised voltage profile and voltage stability reduction issues are faced due to the rapid raise of electric load penetration. To address these concerns, a well-planned integration of EVCS with Distributed Generations (DGs) at strategic locations with appropriate capacity becomes essential. Load Flow Analysis is utilized to find power losses for each branch and voltage magnitudes for all buses. The IEEE 69 bus is employed with the Backward-Forward Sweep method for Radial Distribution Systems, and the IEEE 118 bus is a non-radial DS solved with the Newton–Raphson (NR) method. In this research, the accurate determination of optimal locations and capacities for placing EVCS in conjunction with DGs is achieved by utilizing a hybridized optimization technique called Hybrid Moth Flame Optimization (HMFO) which is formed by hybridizing the characteristics of moth and firefly optimization algorithms. The utilization of HMFO results in improved outcomes, including rapid convergence, robustness, and enhanced identification of EVCS deployment locations. Consequently, this optimization approach leads to reduced real and reactive power losses, diminished voltage deviations, increased voltage stability, cost-effectiveness, and accurate determination of EVCS location, and size. The research work illustrates the efficient result values in terms of real power, reactive power loss, AVDI, and AVSI as 55.37 kW, 22.39 kVAR, 0.02 p.u, and 0.87 p.u respectively. © The Author(s), under exclusive licence to Shiraz University 2025.",Backward–forward sweep method; Distributed generation; Electric vehicle charging stations; Electric vehicles; Hybrid moth flame optimization; Radial and non-radial distribution networks,,,,Article,Final,,Scopus,2-s2.0-105007076592,scopus,scopus.csv,doi:10.1007/s40998-025-00806-5,16,high,0,10.645623,4.6692715
"Gowthaman, K.S.; Dhayalini, K.","Gowthaman, K. S. (57219531309); Dhayalini, K. (55315166600)",57219531309; 55315166600,Intelligent Voltage Stability Enhancement Through Optimal EVCS and FACTS Allocation Using Crayfish-Lotus Effect Algorithm,2025,Iranian Journal of Science and Technology - Transactions of Electrical Engineering,,,,,,0,10.1007/s40998-025-00934-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022426538&doi=10.1007%2Fs40998-025-00934-y&partnerID=40&md5=164922324151c7fb677e974e2ac53dab,"Department of Electrical and Electronic Engineering, Government College of Engineering - Thanjavur, Thanjavur, TN, India; Department of Electrical and Electronic Engineering, K.Ramakrishnan College of Engineering, Tiruchirappalli, TN, India","Gowthaman, K. S., Department of Electrical and Electronic Engineering, Government College of Engineering - Thanjavur, Thanjavur, TN, India; Dhayalini, K., Department of Electrical and Electronic Engineering, K.Ramakrishnan College of Engineering, Tiruchirappalli, TN, India","The increasing use of Electric Vehicles (EVs) poses problems for the stability of the power system, especially in the domains of load control, power loss reduction, and voltage regulation. The Flexible AC Transmission System (FACTS) devices and EV Charging Stations (EVCS) devices are therefore sized and allocated optimally in an enhanced IEEE 33-bus system. This study introduces the CLEA, designed by combining the exploration strength of the Crayfish Optimization Algorithm (COA) and the exploration capability of the Lotus Effect Optimization Algorithm (LEOA) for enhanced optimization performance. To reduce installation costs, enhance voltage profiles, and handle power system emergencies, three different kinds of FACTS devices are used. Three case studies are carried out in MATLAB to evaluate system performance under various scenarios: (1) the base case with only EV integration, (2) the addition of FACTS devices, and (3) the integrated EV and FACTS case. The results demonstrate that the proposed CLEA methodology ensures cost-effective solutions, enhances voltage stability, and minimizes losses in both reactive and active energy sources. In order to increase network resilience and facilitate efficient power distribution, buses 4, 21, 15, 6, 22, 20, and 19 are the ideal locations for FACTS and EVCS devices. In the integrated EV and FACTS case, CLEA achieved a final real power loss of 32.22 kW, a significant reduction compared to GWO (57.80 kW) and PSO (116.33 kW). Furthermore, CLEA resulted in a higher minimum voltage of approximately 0.968 p.u. and a lower maximum voltage deviation of approximately 0.032 p.u. Compared to the other algorithms. This integrated approach provides a scalable and practical solution to manage the increasing demand for EV charging while guaranteeing power distribution systems dependability and stability, offering a significant contribution to sustainable energy systems in the era of electric mobility. © The Author(s), under exclusive licence to Shiraz University 2025.",Crayfish-lotus effect algorithm; Electric vehicle; Electric vehicle charging stations; Enhanced IEEE 33-bus system; Optimal placement of flexible AC transmission system; Voltage stability,,,,Article,aip,,Scopus,2-s2.0-105022426538,scopus,scopus.csv,doi:10.1007/s40998-025-00934-y,16,high,3,9.318983,6.7209177
